q,source,label,router_choice,count,fraction
5,lininterp,LinInterp,noproj,0,0.0
5,lininterp,LinInterp,hard,62,0.484375
5,lininterp,LinInterp,soft,4,0.03125
5,feedavg,FeedAvg,stale,1,0.0078125
5,feedavg,FeedAvg,isomer,72,0.5625
5,feedavg,FeedAvg,noproj,0,0.0
5,feedavg,FeedAvg,hard,52,0.40625
5,feedavg,FeedAvg,soft,3,0.0234375
5,stholes,STHoles,stale,1,0.0078125
5,stholes,STHoles,isomer,30,0.234375
5,stholes,STHoles,noproj,1,0.0078125
5,stholes,STHoles,hard,91,0.7109375
5,stholes,STHoles,soft,5,0.0390625
5,quicksel_h,QuickSel-H,stale,1,0.0078125
5,quicksel_h,QuickSel-H,isomer,98,0.765625
5,quicksel_h,QuickSel-H,noproj,0,0.0
5,quicksel_h,QuickSel-H,hard,24,0.1875
5,quicksel_h,QuickSel-H,soft,5,0.0390625
5,lqm,LQM (learned QD),stale,1,0.0078125
5,lqm,LQM (learned QD),isomer,94,0.734375
5,lqm,LQM (learned QD),noproj,0,0.0
5,lqm,LQM (learned QD),hard,27,0.2109375
5,lqm,LQM (learned QD),soft,6,0.046875
5,oasis_mlp,OASIS MLP,stale,0,0.0
5,oasis_mlp,OASIS MLP,isomer,63,0.4921875
5,oasis_mlp,OASIS MLP,noproj,0,0.0
5,oasis_mlp,OASIS MLP,hard,55,0.4296875
5,oasis_mlp,OASIS MLP,soft,10,0.078125
10,stale,Stale prior,stale,0,0.0
10,stale,Stale prior,isomer,121,0.9453125
10,stale,Stale prior,noproj,0,0.0
10,stale,Stale prior,hard,0,0.0
10,stale,Stale prior,soft,7,0.0546875
10,lininterp,LinInterp,stale,0,0.0
10,lininterp,LinInterp,isomer,50,0.390625
10,lininterp,LinInterp,noproj,0,0.0
10,lininterp,LinInterp,hard,75,0.5859375
10,lininterp,LinInterp,soft,3,0.0234375
10,feedavg,FeedAvg,stale,0,0.0
10,feedavg,FeedAvg,isomer,80,0.625
10,feedavg,FeedAvg,noproj,0,0.0
10,feedavg,FeedAvg,hard,47,0.3671875
10,feedavg,FeedAvg,soft,1,0.0078125
10,stholes,STHoles,stale,0,0.0
10,stholes,STHoles,isomer,42,0.328125
10,stholes,STHoles,noproj,0,0.0
10,stholes,STHoles,hard,83,0.6484375
10,stholes,STHoles,soft,3,0.0234375
10,quicksel_h,QuickSel-H,stale,0,0.0
10,quicksel_h,QuickSel-H,isomer,95,0.7421875
10,quicksel_h,QuickSel-H,noproj,0,0.0
10,quicksel_h,QuickSel-H,hard,26,0.203125
10,quicksel_h,QuickSel-H,soft,7,0.0546875
10,lqm,LQM (learned QD),stale,0,0.0
10,lqm,LQM (learned QD),isomer,90,0.703125
10,lqm,LQM (learned QD),noproj,0,0.0
10,lqm,LQM (learned QD),hard,31,0.2421875
10,lqm,LQM (learned QD),soft,7,0.0546875
10,oasis_mlp,OASIS MLP,stale,0,0.0
10,oasis_mlp,OASIS MLP,isomer,66,0.515625
10,oasis_mlp,OASIS MLP,noproj,0,0.0
10,oasis_mlp,OASIS MLP,hard,58,0.453125
10,oasis_mlp,OASIS MLP,soft,4,0.03125
