estimator,stale_qerr_gm,isomer_qerr_gm,oasis_qerr_gm,oasis_projected_qerr_gm,hybrid_qerr_gm,aggressive_hybrid_qerr_gm,fresh_qerr_gm,oasis_improvement_pct,isomer_improvement_pct,oasis_projected_improvement_pct,hybrid_improvement_pct,aggressive_hybrid_improvement_pct,stale_marginal_qerr_gm,stale_worse_than_stale_frac,isomer_marginal_qerr_gm,isomer_worse_than_stale_frac,oasis_marginal_qerr_gm,oasis_worse_than_stale_frac,oasis_projected_marginal_qerr_gm,oasis_projected_worse_than_stale_frac,hybrid_marginal_qerr_gm,hybrid_worse_than_stale_frac,aggressive_hybrid_marginal_qerr_gm,aggressive_hybrid_worse_than_stale_frac,fresh_marginal_qerr_gm,fresh_worse_than_stale_frac
independence,1.9624366161182125,1.2075723730974972,1.9638657308401744,1.208689534723769,1.20882550506419,1.2088810638049132,1.1656900173033535,-0.07282348434716254,38.46566237200928,38.40873510021379,38.40180645144601,38.3989753413726,1.4717818684900923,0.0,1.0628711353655638,0.1813953488372093,1.45904339843557,0.586046511627907,1.0550951844264533,0.17674418604651163,1.0496171150665314,0.16744186046511628,1.0498748705608656,0.16511627906976745,1.0205342674338733,0.14883720930232558
ipf_sinkhorn,1.7029441410415476,1.2671387079257614,1.687233587030835,1.257999172345817,1.2643665662134589,1.2639032636735532,1.2472110584108125,0.9225525154984654,25.59129349065088,26.12798376484593,25.754078730958707,25.781284704938706,1.4717818684900923,0.0,1.0628711353655638,0.24651162790697675,1.45904339843557,0.5023255813953489,1.0550951844264533,0.22325581395348837,1.0496171150665314,0.23488372093023255,1.0498748705608656,0.23255813953488372,1.0205342674338733,0.23255813953488372
gaussian_copula,1.704064831684605,1.2376969848187875,1.6418887481528195,1.2228282561240778,1.2252913483606152,1.2253946604052577,1.2035872513490675,3.6486923722449833,27.367963835318132,28.24050861285519,28.095966445753344,28.089903763000812,1.4717818684900923,0.0,1.0628711353655638,0.2186046511627907,1.45904339843557,0.513953488372093,1.0550951844264533,0.20465116279069767,1.0496171150665314,0.19534883720930232,1.0498748705608656,0.1930232558139535,1.0205342674338733,0.18604651162790697
clayton_copula,1.9268927237533244,1.2650904954907518,1.6637146002144458,1.2491168217907123,1.2538059898973881,1.2537531508648612,1.235386799885263,13.65816167628904,34.345566834331706,35.17455297887041,34.931199104060916,34.93394129265687,1.4717818684900923,0.0,1.0628711353655638,0.17906976744186046,1.45904339843557,0.4883720930232558,1.0550951844264533,0.16511627906976745,1.0496171150665314,0.1697674418604651,1.0498748705608656,0.1697674418604651,1.0205342674338733,0.16511627906976745
gumbel_copula,1.6963721769837794,1.2401249353230057,1.6265801285029113,1.229929997423945,1.2329958301274977,1.232969648479462,1.2115126479093985,4.114194362994166,26.89546833242693,27.49645307135301,27.315724293485182,27.317267684044804,1.4717818684900923,0.0,1.0628711353655638,0.21627906976744185,1.45904339843557,0.5116279069767442,1.0550951844264533,0.20930232558139536,1.0496171150665314,0.21627906976744185,1.0498748705608656,0.21395348837209302,1.0205342674338733,0.2
frank_copula,1.6771655419768294,1.2706174449580463,1.6453155133175277,1.2566171411475706,1.2628978481631785,1.262888722740607,1.2390106354081654,1.8990390550095007,24.240188988118366,25.074948793281898,24.700465365235495,24.701009463140156,1.4717818684900923,0.0,1.0628711353655638,0.2372093023255814,1.45904339843557,0.5395348837209303,1.0550951844264533,0.2116279069767442,1.0496171150665314,0.21395348837209302,1.0498748705608656,0.2116279069767442,1.0205342674338733,0.2
