estimator,correlation,drift_q,n,stale_qerr_gm,isomer_qerr_gm,oasis_qerr_gm,oasis_projected_qerr_gm,hybrid_qerr_gm,fresh_qerr_gm,stale_marginal_qerr_gm,isomer_marginal_qerr_gm,oasis_marginal_qerr_gm,oasis_projected_marginal_qerr_gm,hybrid_marginal_qerr_gm,fresh_marginal_qerr_gm,oasis_improvement_pct,isomer_improvement_pct,oasis_projected_improvement_pct,hybrid_improvement_pct,oasis_recovery_pct,oasis_marginal_improvement_pct,oasis_projected_marginal_improvement_pct,hybrid_marginal_improvement_pct,marginal_joint_log_improvement_corr,hybrid_choice_stale_frac,hybrid_choice_isomer_frac,hybrid_choice_oasis_frac,hybrid_choice_oasis_projected_frac
gaussian_copula,0.0,1,397,1.2588345677877062,1.1150096507013907,1.2947805854208907,1.120685151145876,1.1136966242863184,1.1072566957239935,1.1209625137696935,1.0442169472240088,1.1569468750925307,1.0531026575495268,1.044126648850328,1.0370516988668146,-2.855499725937503,11.425243694973794,10.97439013647488,11.529548617055793,-23.71455486462782,-3.210130658323724,6.053713249692912,6.8544544510211605,0.8198119836764656,0.0,0.7506297229219143,0.0,0.24937027707808565
gaussian_copula,0.0,5,398,1.5952466061854997,1.1138825678153121,1.4788627212014578,1.1108635052640765,1.0982072478493705,1.069318812658172,1.3274044986072966,1.049685416258366,1.3312086256633742,1.0486571192194603,1.0435560929328385,1.016203892864201,7.295667298884603,30.17489813197028,30.36415178965112,31.15752488730461,22.12925166085457,-0.28658386046369744,20.99943006674274,21.383715813248326,0.8198055022486068,0.0,0.6017587939698492,0.0,0.39824120603015073
gaussian_copula,0.0,10,399,1.9221070933483615,1.0747506824255235,1.8491773257649002,1.0841735457549149,1.0764533861486039,1.0567002965294847,1.4970454255032561,1.0298215663036565,1.481704577871462,1.0388329177603177,1.0323000280476002,1.014260445883543,3.794261403843824,44.08476582055169,43.59452969572805,43.99618055238569,8.42722380405858,1.024741625768446,30.607789178401372,31.04417471496726,0.8670591674493445,0.0,0.20050125313283207,0.0,0.7994987468671679
gaussian_copula,0.0,20,397,1.8649978731454626,1.124437212691219,1.909205462556138,1.1293330918467266,1.1010697747887392,1.0680443451420476,1.4772675708726273,1.0580836327330672,1.5033024608446537,1.0639984199751578,1.0538145523303801,1.0145286737278458,-2.3703828324541725,39.70839168868493,39.44587776167169,40.96133884958806,-5.547072427350626,-1.7623679342427794,27.975240169480596,28.66461207783177,0.8720995974190636,0.0,0.24937027707808565,0.0,0.7506297229219143
gaussian_copula,0.3,1,399,1.2327080903491041,1.1057590328033227,1.2125629124509338,1.109659499154215,1.1053280716361416,1.1038767187049072,1.1241612617157208,1.0374346472498983,1.1382591787893297,1.0453758216993239,1.0382409061165538,1.0353976694055764,1.634221277193463,10.298387634482822,9.981973198540588,10.333348155189638,15.636857421503436,-1.2540831599278106,7.008375283822965,7.643063190776861,0.8581997962559436,0.0,0.8508771929824561,0.0,0.14912280701754385
gaussian_copula,0.3,5,400,1.5692684144901428,1.1329223463701759,1.5692279208385558,1.1389137337532527,1.134763549524768,1.090820988508262,1.359220568160293,1.0438743439064535,1.3428817896148542,1.0480364790404608,1.042889198548562,1.0142395500986139,0.0025804158939971918,27.805700037729764,27.423905098906413,27.688371278825862,0.008463553023381696,1.202069695542741,22.89430401579489,23.272997556230766,0.8285897408721535,0.0,0.45,0.05,0.5
gaussian_copula,0.3,10,396,1.7480466190140362,1.134416678304156,1.6484565233898825,1.1254953874785558,1.09547771382212,1.0629715568503424,1.5077324081156083,1.0532396588693653,1.4632018661640707,1.0617719021525855,1.0433732997368514,1.0132805485807241,5.697221947108385,35.10375146951118,35.614109187009134,37.33132160742885,14.537107117812065,2.9534777996310826,29.578226452026218,30.79850946224081,0.8586832911622545,0.0,0.25,0.0,0.75
gaussian_copula,0.3,20,400,1.7242340764387796,1.1525651873301521,1.6209862399581552,1.1152122417744255,1.111964109793629,1.0691982430938458,1.4797160932592568,1.068898103529187,1.420578415805173,1.060592173042631,1.0514613827724768,1.0157766356868423,5.988040596777425,33.15494670476228,35.321296741926325,35.50967789186306,15.7621661632449,3.9965556719617545,28.324617277997817,28.941680937151688,0.8590657453741161,0.0,0.45,0.0,0.55
gaussian_copula,0.5,1,400,1.2127088934908459,1.097333180575544,1.2208633305149528,1.106376365380578,1.0976203485031963,1.1022323370965657,1.1245858458329854,1.0402279659041112,1.1440688065980014,1.0479093275901405,1.0408206186216187,1.0358582766545334,-0.672415042709378,9.513883631477864,8.768182428693509,9.490203758328278,-7.381146996476333,-1.7324565160772478,6.818200542622891,7.448540057813145,0.8583681964570916,0.0,0.9,0.0,0.1
gaussian_copula,0.5,5,399,1.5113849031854183,1.1040768410252533,1.4562660769460134,1.11811303205026,1.1127450891143724,1.0644183794510185,1.376773758679597,1.0482114169128947,1.349204263374145,1.0585530602210895,1.0494900091958521,1.016216145382752,3.646908614955436,26.94932715694832,26.02062984129936,26.37579700782153,12.33175714791519,2.0024710037975035,23.113506954381442,23.771788750362894,0.7952722474279855,0.0,0.6491228070175439,0.0,0.3508771929824561
gaussian_copula,0.5,10,399,1.7603371421535334,1.1478740995273071,1.7730756480282437,1.1433302459173562,1.1393952643400989,1.1037408796469645,1.5557556221755051,1.0608815289111482,1.5568299414740494,1.064324667418802,1.0639214824864431,1.0156373577627493,-0.7236401237961967,34.792371754251626,35.05049580907854,35.274031487729474,-1.9400819959103588,-0.06905450208446018,31.587927290888146,31.61384298912584,0.7629510201057502,0.0,0.2506265664160401,0.0,0.7493734335839599
gaussian_copula,0.5,20,400,1.6734991882620724,1.1432715939450326,1.5657415927609062,1.1841861936895086,1.1392802106247586,1.099539358247315,1.5112021235081523,1.0706602332479802,1.478334598000153,1.0890054142508427,1.0625584614341563,1.016290829680539,6.439058725392776,31.68376764303547,29.23891436605446,31.922272886914264,18.774414142954154,2.174925841931694,27.93780545233809,29.68786604352437,0.7885350386481773,0.0,0.45,0.0,0.55
gaussian_copula,0.7,1,396,1.1948273977448,1.096941043649372,1.2921412373049066,1.1149356745709826,1.0984895585952812,1.0900874429948446,1.1199006837934955,1.0416274198564164,1.1752378238926628,1.0570954015803473,1.0427400376555667,1.0357623984298558,-8.14459391739622,8.192510004389378,6.686465620441127,8.062908444462655,-92.90994997317193,-4.941254246914208,5.608111783663237,6.889954373146619,0.850667405710463,0.0,0.797979797979798,0.0,0.20202020202020202
gaussian_copula,0.7,5,399,1.4230091594540661,1.1611187576237358,1.4258749671584479,1.1428684702849288,1.1424392170056932,1.073820568360829,1.3470249484527779,1.057634196323061,1.3224498966730087,1.0626342999657759,1.055539432737967,1.0122547488085891,-0.20139067168627203,18.403985672924545,19.686499367060478,19.716664547402697,-0.8207048504676134,1.824394700929377,21.112500463607546,21.639206909242287,0.5750382400070144,0.0,0.5989974937343359,0.0,0.40100250626566414
gaussian_copula,0.7,10,399,1.6505573316233229,1.1779815140311627,1.46041071531508,1.1800265662709635,1.174205716859218,1.1884115103676522,1.5120994008561741,1.048695958739195,1.456525828617577,1.0436031335655562,1.0405503183958684,1.0155401226122291,11.520146114599585,28.631287658901368,28.507386949691256,28.860046581696935,41.1442898675587,3.675259193088128,30.98316598930917,31.185058481823834,0.6607671092903152,0.0,0.3007518796992481,0.0,0.6992481203007519
gaussian_copula,0.7,20,400,1.6231293287470734,1.2085869447293098,1.4543696474188808,1.188394020961798,1.2012246067814694,1.1871115182731162,1.4880349125614614,1.0628769839866095,1.4499682243652248,1.0566603155418868,1.0537118298678363,1.0171808035172671,10.397180208582743,25.539701407389227,26.783775025546262,25.993290521789834,38.70476784990701,2.558185152437699,28.98954812001141,29.187694389911428,0.5215968627732855,0.0,0.35,0.0,0.65
gaussian_copula,0.9,1,396,1.173643997711986,1.0831362814488916,1.3386747976676647,1.1073366409802163,1.0875655829340505,1.0785671007610584,1.1270951008079404,1.0352408202762204,1.1681822982492516,1.0481070669103336,1.0366567453870306,1.0334570493028719,-14.061401947899506,7.7116839893135145,5.649699300727946,7.334286627439406,-173.57613179241326,-3.645406444572287,7.008107287573644,8.024021695780641,0.7410771911585943,0.0,0.8484848484848485,0.0,0.15151515151515152
gaussian_copula,0.9,5,400,1.4772407472468059,1.3570692404203255,1.4455122281073502,1.2944063053814359,1.288883626738491,1.2259809318385584,1.3544750480357641,1.073265279706896,1.3098203369519246,1.0756230038902446,1.0649658288923416,1.0148378762265504,2.147823176323112,8.134862719597258,12.376753227673015,12.750604182789004,12.627773003774223,3.296827885356547,20.587462615122064,21.374274820585562,-0.04390940456267244,0.0,0.4,0.0,0.6
gaussian_copula,0.9,10,398,1.799946580730687,1.5170232299106468,1.7228866788553752,1.493825509530091,1.48677554049177,1.4949441219163522,1.5408383311870715,1.0577537235293846,1.490140579958886,1.0593747251100114,1.0502766697448958,1.0193141968727528,4.281232715474776,15.718430416150886,17.007230907726516,17.398907478231127,25.26533791723322,3.2902706404719027,31.24686064281238,31.8373220287325,-0.12960837714332119,0.0,0.4007537688442211,0.0,0.5992462311557789
gaussian_copula,0.9,20,399,1.740440663570595,1.6507338840612045,1.511740240172674,1.5021416250838873,1.5086796284760158,1.4477962406660765,1.495437838964233,1.0792267179707133,1.491931535679295,1.073956082587867,1.0769659606331659,1.0142679473587892,13.140374629533838,5.154256699872365,13.691879503540564,13.316227317920198,78.14959230319565,0.23446666879624964,28.184505259562776,27.983234570345523,-0.0735624814614483,0.0,0.14912280701754385,0.0,0.8508771929824561
independence,0.0,1,397,1.2593985573582505,1.1151929468111421,1.2946310484210573,1.120699465106104,1.1138911546568826,1.1074272970109147,1.1209625137696935,1.0442169472240088,1.1569468750925307,1.0531026575495268,1.044126648850328,1.0370516988668146,-2.7975648262382835,11.45035538627248,11.013121417503095,11.553721564251134,-23.183653923960144,-3.210130658323724,6.053713249692912,6.8544544510211605,0.8195748064433599,0.0,0.7506297229219143,0.0,0.24937027707808565
independence,0.0,5,398,1.596043095193612,1.1143930692697501,1.4786456413400406,1.110589670553637,1.098277203813147,1.0692851077720154,1.3274044986072966,1.049685416258366,1.3312086256633742,1.0486571192194603,1.0435560929328385,1.016203892864201,7.355531577255449,30.17775819301634,30.416059948624742,31.187496934102665,22.286791402673312,-0.28658386046369744,20.99943006674274,21.383715813248326,0.8199446929510099,0.0,0.6017587939698492,0.0,0.39824120603015073
independence,0.0,10,399,1.9230615621416154,1.0746063096536629,1.8505945386637297,1.083958742435813,1.0761779682599,1.0565858244648396,1.4970454255032561,1.0298215663036565,1.481704577871462,1.0388329177603177,1.0323000280476002,1.014260445883543,3.7683153209709457,44.12002554629979,43.63369515697336,44.03829864596661,8.363422116375324,1.024741625768446,30.607789178401372,31.04417471496726,0.8669551713651059,0.0,0.20050125313283207,0.0,0.7994987468671679
independence,0.0,20,397,1.8659430123955976,1.1243982303882591,1.910800346092959,1.1289715241335494,1.1008512037389069,1.0679816122334589,1.4772675708726273,1.0580836327330672,1.5033024608446537,1.0639984199751578,1.0538145523303801,1.0145286737278458,-2.404003412717905,39.741019799704574,39.495926904856795,41.00295687350199,-5.621491677197272,-1.7623679342427794,27.975240169480596,28.66461207783177,0.872115032929434,0.0,0.24937027707808565,0.0,0.7506297229219143
independence,0.3,1,399,1.4066180726285762,1.212439806288857,1.221286108736926,1.2089209248909967,1.2111929250233395,1.2132405183319301,1.1241612617157208,1.0374346472498983,1.1382591787893297,1.0453758216993239,1.0382409061165538,1.0353976694055764,13.175713258490736,13.804619044660374,14.054785132124655,13.893262955170316,95.83943936292951,-1.2540831599278106,7.008375283822965,7.643063190776861,0.7721850375101752,0.0,0.8508771929824561,0.0,0.14912280701754385
