method,n_cases,n_predicates,selectivity_qerr_gm,selectivity_mae_mean,quantile_mae_mean,feedback_residual_mean,feedback_residual_max,scan_regret_gm,join_regret_gm,join_optimal_match_frac,join_fresh_match_frac,risk_resolved_frac,new_risk_loss_frac
stale,1024,32768,2.402695576174972,0.15561212149473067,0.1808099587673611,0.12055567871398569,0.924576105824722,1.1400984021977525,1.1399182670339745,0.830108642578125,0.830108642578125,0.0,0.0
isomer,1024,32768,1.5405106409957319,0.08064591913686717,0.07507718951789721,0.05062363193038429,0.7724368218496671,1.0399030247547911,1.0478004145285194,0.906585693359375,0.906585693359375,0.5432376664790846,0.011566162109375
oasis_no_proj,1024,32768,1.64711811409749,0.09444312947229215,0.05171227587144841,0.06432230586558346,0.712874457011539,1.0583444980722794,1.0474548837085205,0.906768798828125,0.906768798828125,0.6126430313262052,0.02288818359375
oasis_full,1024,32768,1.4420411229183299,0.06747553633138315,0.051940847269360546,0.04401074065021544,0.6582789602409718,1.032257399976205,1.0344119163147039,0.922271728515625,0.922271728515625,0.6779215906959295,0.01812744140625
oasis_damped_guarded,1024,32768,1.437203370752664,0.06842795957322857,0.048766105440583796,0.044090865063944926,0.646075090174413,1.0307399474296657,1.0335570133245597,0.923126220703125,0.923126220703125,0.6767960982930031,0.01708984375
residual_hybrid,1024,32768,1.4293031797549853,0.06604083728768878,0.05129741494218413,0.03949205348761064,0.6542217983095506,1.030695150292948,1.0325682320020029,0.924072265625,0.924072265625,0.6657287563308948,0.01385498046875
fresh,1024,32768,1.0,0.0,0.0,0.04938717081581862,0.6861046955052728,1.0,1.0,1.0,1.0,1.0,0.0
