column,label,signal,method,n_cases,qerror_gm,qerror_improvement_pct,selectivity_mae_mean,quantile_mae_mean,feedback_residual_mean,beats_stale_frac,router_isomer_frac,router_hard_frac,router_soft_frac,router_oasis_frac,router_stale_frac
reply_bytes,Reply bytes,log reply size,stale,96,1.056196825351386,0.0,0.011297340261050027,0.010953142097478353,0.023143806461880006,0.0,0.3645833333333333,0.1875,0.4270833333333333,0.010416666666666666,0.010416666666666666
reply_bytes,Reply bytes,log reply size,isomer,96,1.0592552124228312,-0.28956601629886825,0.01104580304289228,0.011865357253479737,0.017989075620879327,0.46875,0.3645833333333333,0.1875,0.4270833333333333,0.010416666666666666,0.010416666666666666
reply_bytes,Reply bytes,log reply size,oasis,96,1.0710392257126684,-1.4052684125749435,0.013570152940740756,0.014140485217485232,0.024437851060809344,0.2708333333333333,0.3645833333333333,0.1875,0.4270833333333333,0.010416666666666666,0.010416666666666666
reply_bytes,Reply bytes,log reply size,oasis_projected,96,1.0632057601481397,-0.6636011989926105,0.011519762304461624,0.012445302832430373,0.018233226292761192,0.4479166666666667,0.3645833333333333,0.1875,0.4270833333333333,0.010416666666666666,0.010416666666666666
reply_bytes,Reply bytes,log reply size,oasis_soft_projection,96,1.0550856662494204,0.10520379112065735,0.010024196465982639,0.010792979759061095,0.01772844930436539,0.53125,0.3645833333333333,0.1875,0.4270833333333333,0.010416666666666666,0.010416666666666666
reply_bytes,Reply bytes,log reply size,hybrid,96,1.0572932073824286,-0.10380470805503596,0.010764071945212924,0.011435985693371257,0.0174951924121831,0.4479166666666667,0.3645833333333333,0.1875,0.4270833333333333,0.010416666666666666,0.010416666666666666
reply_bytes,Reply bytes,log reply size,calibrated_hybrid,96,1.0526374571156127,0.3369985735934333,0.010123315587320469,0.010640412920623074,0.016713770052146793,0.5208333333333334,0.3645833333333333,0.1875,0.4270833333333333,0.010416666666666666,0.010416666666666666
reply_bytes,Reply bytes,log reply size,fresh,96,1.0,5.320677358852118,0.0,0.0,0.021187762600972732,1.0,0.3645833333333333,0.1875,0.4270833333333333,0.010416666666666666,0.010416666666666666
time_of_day,Time of day,request timestamp,stale,96,1.767332329030135,0.0,0.13444428331827155,0.17278873831875863,0.2637086576925794,0.0,0.5208333333333334,0.08333333333333333,0.3958333333333333,0.0,0.0
time_of_day,Time of day,request timestamp,isomer,96,1.253812748557169,29.05619797917531,0.0633786423443421,0.05929902581067356,0.12825845785657844,0.8125,0.5208333333333334,0.08333333333333333,0.3958333333333333,0.0,0.0
time_of_day,Time of day,request timestamp,oasis,96,2.6609752049881243,-50.56450681510459,0.2669632961612545,0.17721686773416037,0.29818534285576465,0.2916666666666667,0.5208333333333334,0.08333333333333333,0.3958333333333333,0.0,0.0
time_of_day,Time of day,request timestamp,oasis_projected,96,1.3424718581531332,24.039647999318497,0.07392157228541867,0.06748557466786222,0.143456824283125,0.5833333333333334,0.5208333333333334,0.08333333333333333,0.3958333333333333,0.0,0.0
time_of_day,Time of day,request timestamp,oasis_soft_projection,96,1.3179522930444045,25.427025161268812,0.07044404709923122,0.06851892426817871,0.12980571340499028,0.5833333333333334,0.5208333333333334,0.08333333333333333,0.3958333333333333,0.0,0.0
time_of_day,Time of day,request timestamp,hybrid,96,1.2512106631752529,29.203430355292376,0.06295909838801,0.058857472832108626,0.12666782755406883,0.7916666666666666,0.5208333333333334,0.08333333333333333,0.3958333333333333,0.0,0.0
time_of_day,Time of day,request timestamp,calibrated_hybrid,96,1.2550207260355173,28.98784764921721,0.05875866144493027,0.0589545696283271,0.11834546315173737,0.7916666666666666,0.5208333333333334,0.08333333333333333,0.3958333333333333,0.0,0.0
time_of_day,Time of day,request timestamp,fresh,96,1.0,43.41754611885737,0.0,0.0,0.158350411340061,1.0,0.5208333333333334,0.08333333333333333,0.3958333333333333,0.0,0.0
path_length,Path length,request path text,stale,96,1.0250495253949445,0.0,0.00884541336478677,0.004491304733385603,0.0349896374376041,0.0,0.3020833333333333,0.10416666666666667,0.5,0.0,0.09375
path_length,Path length,request path text,isomer,96,1.0568535281574416,-3.1026796242106642,0.014969169622179415,0.008610640399933324,0.030388852881848772,0.15625,0.3020833333333333,0.10416666666666667,0.5,0.0,0.09375
path_length,Path length,request path text,oasis,96,1.1043813926102275,-7.739320418173643,0.027808586011151996,0.014682352039166596,0.051190922249379496,0.020833333333333332,0.3020833333333333,0.10416666666666667,0.5,0.0,0.09375
path_length,Path length,request path text,oasis_projected,96,1.0818661727402372,-5.542819730919988,0.019906461598408306,0.012329586395606155,0.03336371753207251,0.09375,0.3020833333333333,0.10416666666666667,0.5,0.0,0.09375
path_length,Path length,request path text,oasis_soft_projection,96,1.0648449790351278,-3.8822956993078264,0.016072872945985504,0.009647198754821097,0.029604946854975913,0.125,0.3020833333333333,0.10416666666666667,0.5,0.0,0.09375
path_length,Path length,request path text,hybrid,96,1.0444276238221153,-1.890454846043122,0.012941163613759776,0.0068765823933057526,0.028775722910847207,0.15625,0.3020833333333333,0.10416666666666667,0.5,0.0,0.09375
path_length,Path length,request path text,calibrated_hybrid,96,1.050082864591066,-2.442158995827672,0.013479131820748709,0.007616981420389614,0.02720103785085948,0.17708333333333334,0.3020833333333333,0.10416666666666667,0.5,0.0,0.09375
path_length,Path length,request path text,fresh,96,1.0,2.443738060879851,0.0,0.0,0.03406784443063759,0.9895833333333334,0.3020833333333333,0.10416666666666667,0.5,0.0,0.09375
all,Aggregate,all public trace columns,stale,288,1.2414692763515731,0.0,0.051529012314702805,0.0627443950498743,0.10728070053068789,0.0,0.3958333333333333,0.125,0.4409722222222222,0.003472222222222222,0.034722222222222224
all,Aggregate,all public trace columns,isomer,288,1.1196510650950078,9.812422552619617,0.02979787166980456,0.02659167448802889,0.058878795453102185,0.4791666666666667,0.3958333333333333,0.125,0.4409722222222222,0.003472222222222222,0.034722222222222224
all,Aggregate,all public trace columns,oasis,288,1.465508792607518,-18.046319834378163,0.10278067837104904,0.0686799016636041,0.1246047053886512,0.19444444444444445,0.3958333333333333,0.125,0.4409722222222222,0.003472222222222222,0.034722222222222224
all,Aggregate,all public trace columns,oasis_projected,288,1.1558425666045102,6.897207315407954,0.03511593206276291,0.030753487965299572,0.06501792270265287,0.375,0.3958333333333333,0.125,0.4409722222222222,0.003472222222222222,0.034722222222222224
all,Aggregate,all public trace columns,oasis_soft_projection,288,1.1397893643994443,8.190288224525819,0.03218037217039978,0.029653034260686988,0.05904636985477718,0.4131944444444444,0.3958333333333333,0.125,0.4409722222222222,0.003472222222222222,0.034722222222222224
all,Aggregate,all public trace columns,hybrid,288,1.1137851152063039,10.284923161409774,0.028888111315660887,0.02572334697292855,0.057646247625699726,0.4652777777777778,0.3958333333333333,0.125,0.4409722222222222,0.003472222222222222,0.034722222222222224
all,Aggregate,all public trace columns,calibrated_hybrid,288,1.1152813242746284,10.164403943026725,0.027453702950999824,0.025737321323113252,0.05408675701824787,0.4965277777777778,0.3958333333333333,0.125,0.4409722222222222,0.003472222222222222,0.034722222222222224
all,Aggregate,all public trace columns,fresh,288,1.0,19.45028209326311,0.0,0.0,0.07120200612389047,0.9965277777777778,0.3958333333333333,0.125,0.4409722222222222,0.003472222222222222,0.034722222222222224
