family,method,n,row_qerr_gm,qerr_improvement_pct,beats_stale_qerr_frac,fresh_plan_match_frac,fresh_root_match_frac,fresh_scan_match_frac,fresh_join_match_frac,stale_fresh_changed_queries,plan_recovery_frac,new_plan_deviation_frac
all,stale,84,21.529124555124838,0.0,0.0,0.6309523809523809,0.7142857142857143,0.6309523809523809,0.8095238095238095,31,0.0,0.0
all,isomer,84,3.0191723133534105,85.97633496140129,0.9642857142857143,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,31,0.9032258064516129,0.018867924528301886
all,oasis,84,5.297962134876035,75.3916508713082,0.9880952380952381,0.8690476190476191,0.8928571428571429,0.8690476190476191,0.9285714285714286,31,0.6451612903225806,0.0
all,oasis_projected,84,2.796062935866918,87.01264917341317,0.9642857142857143,0.9285714285714286,0.9404761904761905,0.9285714285714286,0.9523809523809523,31,0.8387096774193549,0.018867924528301886
all,oasis_soft_projection,84,2.858844895171894,86.7210350896903,0.9642857142857143,0.9285714285714286,0.9404761904761905,0.9285714285714286,0.9523809523809523,31,0.8387096774193549,0.018867924528301886
all,hybrid,84,2.7939326655100745,87.02254400379229,0.9642857142857143,0.9285714285714286,0.9404761904761905,0.9285714285714286,0.9523809523809523,31,0.8387096774193549,0.018867924528301886
all,aggressive_hybrid,84,2.7607337494361346,87.17674867657838,0.9642857142857143,0.9285714285714286,0.9404761904761905,0.9285714285714286,0.9523809523809523,31,0.8387096774193549,0.018867924528301886
all,calibrated_hybrid,84,2.8106563883847877,86.94486447329446,0.9642857142857143,0.9285714285714286,0.9404761904761905,0.9285714285714286,0.9523809523809523,31,0.8387096774193549,0.018867924528301886
all,fresh,84,1.5434292742556543,92.83097057521434,1.0,1.0,1.0,1.0,1.0,31,1.0,0.0
scan,stale,28,22.38318304870193,0.0,0.0,0.7142857142857143,0.7142857142857143,0.7142857142857143,1.0,8,0.0,0.0
scan,isomer,28,3.043504022140879,86.40272022295157,0.9642857142857143,1.0,1.0,1.0,1.0,8,1.0,0.0
scan,oasis,28,5.47048602919173,75.55983875354592,1.0,0.8928571428571429,0.8928571428571429,0.8928571428571429,1.0,8,0.625,0.0
scan,oasis_projected,28,2.817171914744268,87.41389055964655,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9642857142857143,1.0,8,0.875,0.0
scan,oasis_soft_projection,28,2.8824027810065926,87.12246254370979,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9642857142857143,1.0,8,0.875,0.0
scan,hybrid,28,2.815079239039756,87.42323988096497,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9642857142857143,1.0,8,0.875,0.0
scan,aggressive_hybrid,28,2.78240684773435,87.56920835754094,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9642857142857143,1.0,8,0.875,0.0
scan,calibrated_hybrid,28,2.8332265011031637,87.34216445025467,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9642857142857143,1.0,8,0.875,0.0
scan,fresh,28,1.5499802257358082,93.07524661544643,1.0,1.0,1.0,1.0,1.0,8,1.0,0.0
join,stale,28,22.38318304870193,0.0,0.0,0.5,0.75,0.5,0.75,14,0.0,0.0
join,isomer,28,3.043504022140879,86.40272022295157,0.9642857142857143,0.8928571428571429,0.8928571428571429,0.8928571428571429,0.8928571428571429,14,0.8571428571428571,0.07142857142857142
join,oasis,28,5.47048602919173,75.55983875354592,1.0,0.8214285714285714,0.8928571428571429,0.8214285714285714,0.8928571428571429,14,0.6428571428571429,0.0
join,oasis_projected,28,2.817171914744268,87.41389055964655,0.9642857142857143,0.8571428571428571,0.8928571428571429,0.8571428571428571,0.8928571428571429,14,0.7857142857142857,0.07142857142857142
join,oasis_soft_projection,28,2.8824027810065926,87.12246254370979,0.9642857142857143,0.8571428571428571,0.8928571428571429,0.8571428571428571,0.8928571428571429,14,0.7857142857142857,0.07142857142857142
join,hybrid,28,2.815079239039756,87.42323988096497,0.9642857142857143,0.8571428571428571,0.8928571428571429,0.8571428571428571,0.8928571428571429,14,0.7857142857142857,0.07142857142857142
join,aggressive_hybrid,28,2.78240684773435,87.56920835754094,0.9642857142857143,0.8571428571428571,0.8928571428571429,0.8571428571428571,0.8928571428571429,14,0.7857142857142857,0.07142857142857142
join,calibrated_hybrid,28,2.8332265011031637,87.34216445025467,0.9642857142857143,0.8571428571428571,0.8928571428571429,0.8571428571428571,0.8928571428571429,14,0.7857142857142857,0.07142857142857142
join,fresh,28,1.5499802257358082,93.07524661544643,1.0,1.0,1.0,1.0,1.0,14,1.0,0.0
join_dim_filter,stale,28,19.917527171345657,0.0,0.0,0.6785714285714286,0.6785714285714286,0.6785714285714286,0.6785714285714286,9,0.0,0.0
join_dim_filter,isomer,28,2.971090910148596,85.0830332270215,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9642857142857143,9,0.8888888888888888,0.0
join_dim_filter,oasis,28,4.9690655241485135,75.0517949271471,0.9642857142857143,0.8928571428571429,0.8928571428571429,0.8928571428571429,0.8928571428571429,9,0.6666666666666666,0.0
join_dim_filter,oasis_projected,28,2.7543182996645013,86.17138424880876,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9642857142857143,9,0.8888888888888888,0.0
join_dim_filter,oasis_soft_projection,28,2.812305165880072,85.88024938193134,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9642857142857143,9,0.8888888888888888,0.0
join_dim_filter,hybrid,28,2.7521148775622972,86.18244697804843,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9642857142857143,9,0.8888888888888888,0.0
join_dim_filter,aggressive_hybrid,28,2.717892694903856,86.35426641308189,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9642857142857143,9,0.8888888888888888,0.0
join_dim_filter,calibrated_hybrid,28,2.766054126252573,86.1124621422284,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9642857142857143,9,0.8888888888888888,0.0
join_dim_filter,fresh,28,1.5304103165579752,92.3162634427847,1.0,1.0,1.0,1.0,1.0,9,1.0,0.0
