query,method,target_col,scan_true_rows,scan_est_rows,scan_row_qerr,plan_signature,plan_changed_vs_stale_fresh,median_ms,min_ms,iqr_ms,n_runs
Q6_lineitem_revenue,stale,l_shipdate,4632193,292872.0,15.816441995137808,[Aggregate][Bitmap Heap Scan;Relation Name=lineitem][Bitmap Index Scan;Index Name=l_shipdate_idx],False,1118.365,1109.005,200.5659999999998,3
Q14_promo_part_join,stale,l_shipdate,7244,24006.0,3.3139149641082275,[Aggregate][Nested Loop;Join Type=Inner][Index Scan;Relation Name=lineitem;Index Name=l_shipdate_idx][Index Scan;Relation Name=part;Index Name=part_pkey],True,51.002,49.333,6.969999999999999,3
Q12_shipmode_orders_join,stale,l_shipdate,4632193,292872.0,15.816441995137808,[Aggregate][Nested Loop;Join Type=Inner][Bitmap Heap Scan;Relation Name=lineitem][Bitmap Index Scan;Index Name=l_shipdate_idx][Memoize][Index Only Scan;Relation Name=orders;Index Name=orders_pkey],False,4474.618,4393.134,337.79399999999987,3
Q4_order_priority,stale,o_orderdate,295700,18431.0,16.043622158320222,[Aggregate][Sort][Nested Loop;Join Type=Semi][Bitmap Heap Scan;Relation Name=orders][Bitmap Index Scan;Index Name=o_orderdate_idx][Index Scan;Relation Name=lineitem;Index Name=l_orderkey_idx],False,818.128,811.508,30.913999999999987,3
Q3_3way_join,stale,o_orderdate,13515173,14226760.0,1.0526509723552928,[Limit][Sort][Aggregate][Hash Join;Join Type=Inner][Nested Loop;Join Type=Inner][Bitmap Heap Scan;Relation Name=lineitem][Bitmap Index Scan;Index Name=l_shipdate_idx][Memoize][Index Scan;Relation Name=orders;Index Name=orders_pkey][Hash][Seq Scan;Relation Name=customer],False,7639.004,7506.847,164.26500000000033,3
Q1_pricing_scan,stale,l_shipdate,56658050,57327331.0,1.0118126373922152,[Aggregate][Seq Scan;Relation Name=lineitem],False,19890.678,19883.096,36.341999999996915,3
Q6_lineitem_revenue,isomer,l_shipdate,4632193,4824607.0,1.0415384246727197,[Aggregate][Bitmap Heap Scan;Relation Name=lineitem][Bitmap Index Scan;Index Name=l_shipdate_idx],False,1269.811,1110.39,194.38999999999987,3
Q14_promo_part_join,isomer,l_shipdate,7244,318269.0,43.93553285477637,[Aggregate][Hash Join;Join Type=Inner][Bitmap Heap Scan;Relation Name=lineitem][Bitmap Index Scan;Index Name=l_shipdate_idx][Hash][Seq Scan;Relation Name=part],True,644.892,624.348,186.67200000000003,3
Q12_shipmode_orders_join,isomer,l_shipdate,4632193,4824607.0,1.0415384246727197,[Aggregate][Nested Loop;Join Type=Inner][Bitmap Heap Scan;Relation Name=lineitem][Bitmap Index Scan;Index Name=l_shipdate_idx][Memoize][Index Only Scan;Relation Name=orders;Index Name=orders_pkey],False,4344.634,4325.36,146.28800000000047,3
Q4_order_priority,isomer,o_orderdate,295700,321984.0,1.0888873858640513,[Aggregate][Sort][Nested Loop;Join Type=Semi][Bitmap Heap Scan;Relation Name=orders][Bitmap Index Scan;Index Name=o_orderdate_idx][Index Scan;Relation Name=lineitem;Index Name=l_orderkey_idx],False,815.03,809.301,179.06599999999992,3
Q3_3way_join,isomer,o_orderdate,13515173,13588453.0,1.005422054160905,[Limit][Sort][Aggregate][Hash Join;Join Type=Inner][Nested Loop;Join Type=Inner][Bitmap Heap Scan;Relation Name=lineitem][Bitmap Index Scan;Index Name=l_shipdate_idx][Memoize][Index Scan;Relation Name=orders;Index Name=orders_pkey][Hash][Seq Scan;Relation Name=customer],False,7752.265,7724.789,325.90400000000045,3
Q1_pricing_scan,isomer,l_shipdate,56658050,56749245.0,1.0016095682784705,[Aggregate][Seq Scan;Relation Name=lineitem],False,19933.272,19853.792,188.51900000000023,3
Q6_lineitem_revenue,oasis,l_shipdate,4632193,2121827.0,2.1831153058189945,[Aggregate][Bitmap Heap Scan;Relation Name=lineitem][Bitmap Index Scan;Index Name=l_shipdate_idx],False,1111.308,1101.869,183.64900000000011,3
Q14_promo_part_join,oasis,l_shipdate,7244,183644.0,25.35118718939812,[Aggregate][Hash Join;Join Type=Inner][Bitmap Heap Scan;Relation Name=lineitem][Bitmap Index Scan;Index Name=l_shipdate_idx][Hash][Seq Scan;Relation Name=part],True,640.85,617.569,32.023000000000025,3
Q12_shipmode_orders_join,oasis,l_shipdate,4632193,2121827.0,2.1831153058189945,[Aggregate][Nested Loop;Join Type=Inner][Bitmap Heap Scan;Relation Name=lineitem][Bitmap Index Scan;Index Name=l_shipdate_idx][Memoize][Index Only Scan;Relation Name=orders;Index Name=orders_pkey],False,4467.992,4337.333,218.19900000000052,3
Q4_order_priority,oasis,o_orderdate,295700,129533.0,2.2828159619556407,[Aggregate][Sort][Nested Loop;Join Type=Semi][Bitmap Heap Scan;Relation Name=orders][Bitmap Index Scan;Index Name=o_orderdate_idx][Index Scan;Relation Name=lineitem;Index Name=l_orderkey_idx],False,929.826,814.818,147.92700000000002,3
Q3_3way_join,oasis,o_orderdate,13515173,14017560.0,1.0371720731950675,[Limit][Sort][Aggregate][Hash Join;Join Type=Inner][Nested Loop;Join Type=Inner][Bitmap Heap Scan;Relation Name=lineitem][Bitmap Index Scan;Index Name=l_shipdate_idx][Memoize][Index Scan;Relation Name=orders;Index Name=orders_pkey][Hash][Seq Scan;Relation Name=customer],False,7668.313,7520.083,268.3210000000008,3
Q1_pricing_scan,oasis,l_shipdate,56658050,57098196.0,1.0077684636163793,[Aggregate][Seq Scan;Relation Name=lineitem],False,19806.741,19800.803,15.936000000001513,3
Q6_lineitem_revenue,oasis_projected,l_shipdate,4632193,4538547.0,1.0206334758679374,[Aggregate][Bitmap Heap Scan;Relation Name=lineitem][Bitmap Index Scan;Index Name=l_shipdate_idx],False,1112.384,1102.458,176.56899999999996,3
Q14_promo_part_join,oasis_projected,l_shipdate,7244,309078.0,42.66675869685257,[Aggregate][Hash Join;Join Type=Inner][Bitmap Heap Scan;Relation Name=lineitem][Bitmap Index Scan;Index Name=l_shipdate_idx][Hash][Seq Scan;Relation Name=part],True,637.276,621.022,95.80799999999999,3
Q12_shipmode_orders_join,oasis_projected,l_shipdate,4632193,4538547.0,1.0206334758679374,[Aggregate][Nested Loop;Join Type=Inner][Bitmap Heap Scan;Relation Name=lineitem][Bitmap Index Scan;Index Name=l_shipdate_idx][Memoize][Index Only Scan;Relation Name=orders;Index Name=orders_pkey],False,4324.002,4320.486,185.6869999999999,3
Q4_order_priority,oasis_projected,o_orderdate,295700,300866.0,1.017470409198512,[Aggregate][Sort][Nested Loop;Join Type=Semi][Bitmap Heap Scan;Relation Name=orders][Bitmap Index Scan;Index Name=o_orderdate_idx][Index Scan;Relation Name=lineitem;Index Name=l_orderkey_idx],False,822.623,812.275,248.81700000000012,3
