subset,method,n_queries,scan_qerr_gm,total_median_ms,geomean_ratio_vs_stale,geomean_ratio_vs_fresh,n_regressions_gt15pct_vs_stale
all,stale,6,4.919,33991.79,1.0,0.6386,0
all,isomer,6,1.9336,34759.9,1.5547,0.9928,1
all,oasis,6,2.5702,34625.03,1.5555,0.9933,1
all,oasis_projected,6,1.8894,34373.05,1.5133,0.9664,1
all,calibrated_hybrid,6,1.8971,34697.94,1.5552,0.9932,2
all,fresh,6,1.9115,34999.7,1.5659,1.0,1
plan_change,stale,1,3.3139,51.0,1.0,0.0819,0
plan_change,isomer,1,43.9355,644.89,12.6444,1.0352,1
plan_change,oasis,1,25.3512,640.85,12.5652,1.0287,1
plan_change,oasis_projected,1,42.6668,637.28,12.4951,1.023,1
plan_change,calibrated_hybrid,1,42.2493,629.73,12.3471,1.0109,1
plan_change,fresh,1,43.7073,622.94,12.2141,1.0,1
plan_stable,stale,5,5.3233,33940.79,1.0,0.963,0
plan_stable,isomer,5,1.0353,34115.01,1.0224,0.9846,0
plan_stable,oasis,5,1.6262,33984.18,1.0242,0.9864,0
plan_stable,oasis_projected,5,1.0129,33735.78,0.9921,0.9554,0
plan_stable,calibrated_hybrid,5,1.0199,34068.21,1.0276,0.9897,1
plan_stable,fresh,5,1.0222,34376.76,1.0384,1.0,0
