estimator,correlation,drift_q,n,stale_qerr_gm,isomer_qerr_gm,oasis_qerr_gm,fresh_qerr_gm,oasis_improvement_pct,isomer_improvement_pct,oasis_recovery_pct
gaussian_copula,0.0,1,397,1.2588345677877062,1.1150096507013907,1.2947805854208907,1.1072566957239935,-2.855499725937503,11.425243694973794,-23.71455486462782
gaussian_copula,0.0,5,398,1.5952466061854997,1.1138825678153121,1.4788627212014578,1.069318812658172,7.295667298884603,30.17489813197028,22.12925166085457
gaussian_copula,0.0,10,399,1.9221070933483615,1.0747506824255235,1.8491773257649002,1.0567002965294847,3.794261403843824,44.08476582055169,8.42722380405858
gaussian_copula,0.0,20,397,1.8649978731454626,1.124437212691219,1.909205462556138,1.0680443451420476,-2.3703828324541725,39.70839168868493,-5.547072427350626
gaussian_copula,0.3,1,399,1.2327080903491041,1.1057590328033227,1.2125629124509338,1.1038767187049072,1.634221277193463,10.298387634482822,15.636857421503436
gaussian_copula,0.3,5,400,1.5692684144901428,1.1329223463701759,1.5692279208385558,1.090820988508262,0.0025804158939971918,27.805700037729764,0.008463553023381696
gaussian_copula,0.3,10,396,1.7480466190140362,1.134416678304156,1.6484565233898825,1.0629715568503424,5.697221947108385,35.10375146951118,14.537107117812065
gaussian_copula,0.3,20,400,1.7242340764387796,1.1525651873301521,1.6209862399581552,1.0691982430938458,5.988040596777425,33.15494670476228,15.7621661632449
gaussian_copula,0.5,1,400,1.2127088934908459,1.097333180575544,1.2208633305149528,1.1022323370965657,-0.672415042709378,9.513883631477864,-7.381146996476333
gaussian_copula,0.5,5,399,1.5113849031854183,1.1040768410252533,1.4562660769460134,1.0644183794510185,3.646908614955436,26.94932715694832,12.33175714791519
gaussian_copula,0.5,10,399,1.7603371421535334,1.1478740995273071,1.7730756480282437,1.1037408796469645,-0.7236401237961967,34.792371754251626,-1.9400819959103588
gaussian_copula,0.5,20,400,1.6734991882620724,1.1432715939450326,1.5657415927609062,1.099539358247315,6.439058725392776,31.68376764303547,18.774414142954154
gaussian_copula,0.7,1,396,1.1948273977448,1.096941043649372,1.2921412373049066,1.0900874429948446,-8.14459391739622,8.192510004389378,-92.90994997317193
gaussian_copula,0.7,5,399,1.4230091594540661,1.1611187576237358,1.4258749671584479,1.073820568360829,-0.20139067168627203,18.403985672924545,-0.8207048504676134
gaussian_copula,0.7,10,399,1.6505573316233229,1.1779815140311627,1.46041071531508,1.1884115103676522,11.520146114599585,28.631287658901368,41.1442898675587
gaussian_copula,0.7,20,400,1.6231293287470734,1.2085869447293098,1.4543696474188808,1.1871115182731162,10.397180208582743,25.539701407389227,38.70476784990701
gaussian_copula,0.9,1,396,1.173643997711986,1.0831362814488916,1.3386747976676647,1.0785671007610584,-14.061401947899506,7.7116839893135145,-173.57613179241326
gaussian_copula,0.9,5,400,1.4772407472468059,1.3570692404203255,1.4455122281073502,1.2259809318385584,2.147823176323112,8.134862719597258,12.627773003774223
gaussian_copula,0.9,10,398,1.799946580730687,1.5170232299106468,1.7228866788553752,1.4949441219163522,4.281232715474776,15.718430416150886,25.26533791723322
gaussian_copula,0.9,20,399,1.740440663570595,1.6507338840612045,1.511740240172674,1.4477962406660765,13.140374629533838,5.154256699872365,78.14959230319565
