q,source,label,router_choice,count,fraction
5,lininterp,LinInterp,noproj,1,0.0078125
5,lininterp,LinInterp,hard,39,0.3046875
5,lininterp,LinInterp,soft,11,0.0859375
5,feedavg,FeedAvg,stale,1,0.0078125
5,feedavg,FeedAvg,isomer,76,0.59375
5,feedavg,FeedAvg,noproj,1,0.0078125
5,feedavg,FeedAvg,hard,42,0.328125
5,feedavg,FeedAvg,soft,8,0.0625
5,stholes,STHoles,stale,0,0.0
5,stholes,STHoles,isomer,101,0.7890625
5,stholes,STHoles,noproj,0,0.0
5,stholes,STHoles,hard,24,0.1875
5,stholes,STHoles,soft,3,0.0234375
5,quicksel_h,QuickSel-H,stale,0,0.0
5,quicksel_h,QuickSel-H,isomer,124,0.96875
5,quicksel_h,QuickSel-H,noproj,0,0.0
5,quicksel_h,QuickSel-H,hard,3,0.0234375
5,quicksel_h,QuickSel-H,soft,1,0.0078125
5,lqm,LQM (learned QD),stale,1,0.0078125
5,lqm,LQM (learned QD),isomer,95,0.7421875
5,lqm,LQM (learned QD),noproj,1,0.0078125
5,lqm,LQM (learned QD),hard,28,0.21875
5,lqm,LQM (learned QD),soft,3,0.0234375
5,oasis_mlp,OASIS MLP,stale,1,0.0078125
5,oasis_mlp,OASIS MLP,isomer,113,0.8828125
5,oasis_mlp,OASIS MLP,noproj,0,0.0
5,oasis_mlp,OASIS MLP,hard,13,0.1015625
5,oasis_mlp,OASIS MLP,soft,1,0.0078125
10,stale,Stale prior,stale,0,0.0
10,stale,Stale prior,isomer,109,0.8515625
10,stale,Stale prior,noproj,0,0.0
10,stale,Stale prior,hard,0,0.0
10,stale,Stale prior,soft,19,0.1484375
10,lininterp,LinInterp,stale,0,0.0
10,lininterp,LinInterp,isomer,72,0.5625
10,lininterp,LinInterp,noproj,0,0.0
10,lininterp,LinInterp,hard,48,0.375
10,lininterp,LinInterp,soft,8,0.0625
10,feedavg,FeedAvg,stale,0,0.0
10,feedavg,FeedAvg,isomer,67,0.5234375
10,feedavg,FeedAvg,noproj,0,0.0
10,feedavg,FeedAvg,hard,48,0.375
10,feedavg,FeedAvg,soft,13,0.1015625
10,stholes,STHoles,stale,0,0.0
10,stholes,STHoles,isomer,74,0.578125
10,stholes,STHoles,noproj,0,0.0
