source,label,none_qerr,none_resid,none_qmae,hard_qerr,hard_resid,hard_qmae,router_qerr,router_resid,router_qmae,cases
stale,Stale prior,2.403512369461216,0.12055567871398569,0.18080995876736136,1.5393409032375713,0.05062363193038429,0.07507718951789721,1.436730388265007,0.038283699118648075,0.060565875283353214,1024
lininterp,LinInterp,2.1155626171285906,0.10715340249492476,0.16427113247178124,1.5080148303504939,0.049736998536693625,0.07351173227371162,1.4172311395323909,0.0378837441348797,0.05930972417074431,1024
feedavg,FeedAvg,2.4744036051216356,0.12555056483504665,0.18748694974343158,1.54387916283225,0.05098253880982759,0.07575716133899024,1.4369020591622488,0.03825743509772101,0.060620114376720304,1024
stholes,STHoles,1.571883584915939,0.054167336868775305,0.07448328437740394,1.4358116906371239,0.044420385956056345,0.05988938684377086,1.393602777713708,0.03649020533363241,0.054088682970051934,1024
quicksel_h,QuickSel-H,1.6135818581688834,0.05725593591512309,0.10285610437476748,1.4230222829298038,0.04185219203204874,0.06043239796446749,1.3921061783763555,0.03467202664458331,0.054496741756732324,1024
oasis_mlp,OASIS MLP,1.488868128087996,0.06276979422192812,0.06539564859662514,1.3459020220455904,0.04327819149024205,0.05001726516531759,1.3282593388293598,0.03538439523329902,0.04725882642984574,1024
