q,source,label,router_choice,count,fraction
5,lininterp,LinInterp,hard,37,0.2890625
5,lininterp,LinInterp,soft,5,0.0390625
5,feedavg,FeedAvg,stale,27,0.2109375
5,feedavg,FeedAvg,isomer,65,0.5078125
5,feedavg,FeedAvg,noproj,0,0.0
5,feedavg,FeedAvg,hard,25,0.1953125
5,feedavg,FeedAvg,soft,11,0.0859375
5,stholes,STHoles,stale,27,0.2109375
5,stholes,STHoles,isomer,77,0.6015625
5,stholes,STHoles,noproj,0,0.0
5,stholes,STHoles,hard,23,0.1796875
5,stholes,STHoles,soft,1,0.0078125
5,quicksel_h,QuickSel-H,stale,26,0.203125
5,quicksel_h,QuickSel-H,isomer,85,0.6640625
5,quicksel_h,QuickSel-H,noproj,0,0.0
5,quicksel_h,QuickSel-H,hard,4,0.03125
5,quicksel_h,QuickSel-H,soft,13,0.1015625
5,lqm,LQM (learned QD),stale,26,0.203125
5,lqm,LQM (learned QD),isomer,74,0.578125
5,lqm,LQM (learned QD),noproj,0,0.0
5,lqm,LQM (learned QD),hard,15,0.1171875
5,lqm,LQM (learned QD),soft,13,0.1015625
5,oasis_mlp,OASIS MLP,stale,27,0.2109375
5,oasis_mlp,OASIS MLP,isomer,43,0.3359375
5,oasis_mlp,OASIS MLP,noproj,0,0.0
5,oasis_mlp,OASIS MLP,hard,48,0.375
5,oasis_mlp,OASIS MLP,soft,10,0.078125
10,stale,Stale prior,stale,24,0.1875
10,stale,Stale prior,isomer,79,0.6171875
10,stale,Stale prior,noproj,0,0.0
10,stale,Stale prior,hard,0,0.0
10,stale,Stale prior,soft,25,0.1953125
10,lininterp,LinInterp,stale,24,0.1875
10,lininterp,LinInterp,isomer,54,0.421875
10,lininterp,LinInterp,noproj,0,0.0
10,lininterp,LinInterp,hard,36,0.28125
10,lininterp,LinInterp,soft,14,0.109375
10,feedavg,FeedAvg,stale,24,0.1875
10,feedavg,FeedAvg,isomer,71,0.5546875
10,feedavg,FeedAvg,noproj,0,0.0
10,feedavg,FeedAvg,hard,20,0.15625
10,feedavg,FeedAvg,soft,13,0.1015625
10,stholes,STHoles,stale,26,0.203125
10,stholes,STHoles,isomer,70,0.546875
10,stholes,STHoles,noproj,0,0.0
10,stholes,STHoles,hard,26,0.203125
10,stholes,STHoles,soft,6,0.046875
10,quicksel_h,QuickSel-H,stale,26,0.203125
10,quicksel_h,QuickSel-H,isomer,73,0.5703125
10,quicksel_h,QuickSel-H,noproj,0,0.0
10,quicksel_h,QuickSel-H,hard,10,0.078125
10,quicksel_h,QuickSel-H,soft,19,0.1484375
10,lqm,LQM (learned QD),stale,26,0.203125
10,lqm,LQM (learned QD),isomer,60,0.46875
10,lqm,LQM (learned QD),noproj,0,0.0
10,lqm,LQM (learned QD),hard,22,0.171875
10,lqm,LQM (learned QD),soft,20,0.15625
10,oasis_mlp,OASIS MLP,stale,26,0.203125
10,oasis_mlp,OASIS MLP,isomer,47,0.3671875
10,oasis_mlp,OASIS MLP,noproj,0,0.0
10,oasis_mlp,OASIS MLP,hard,36,0.28125
10,oasis_mlp,OASIS MLP,soft,19,0.1484375
