estimator,correlation,drift_q,n,stale_qerr_gm,isomer_qerr_gm,oasis_qerr_gm,hybrid_qerr_gm,fresh_qerr_gm,stale_marginal_qerr_gm,isomer_marginal_qerr_gm,oasis_marginal_qerr_gm,hybrid_marginal_qerr_gm,fresh_marginal_qerr_gm,oasis_improvement_pct,isomer_improvement_pct,hybrid_improvement_pct,oasis_recovery_pct,oasis_marginal_improvement_pct,hybrid_marginal_improvement_pct,marginal_joint_log_improvement_corr,hybrid_choice_stale_frac,hybrid_choice_isomer_frac,hybrid_choice_oasis_frac
gaussian_copula,0.0,1,397,1.2588345677877062,1.1150096507013907,1.2947805854208907,1.1150096507013907,1.1072566957239935,1.1209625137696935,1.0442169472240088,1.1569468750925307,1.0442169472240088,1.0370516988668146,-2.855499725937503,11.425243694973794,11.425243694973794,-23.71455486462782,-3.210130658323724,6.846399018964193,0.8198119836764656,0.0,1.0,0.0
gaussian_copula,0.0,5,398,1.5952466061854997,1.1138825678153121,1.4788627212014578,1.1138825678153121,1.069318812658172,1.3274044986072966,1.049685416258366,1.3312086256633742,1.049685416258366,1.016203892864201,7.295667298884603,30.17489813197028,30.17489813197028,22.12925166085457,-0.28658386046369744,20.921963323185324,0.8198055022486068,0.0,1.0,0.0
gaussian_copula,0.0,10,399,1.9221070933483615,1.0747506824255235,1.8491773257649002,1.0747506824255235,1.0567002965294847,1.4970454255032561,1.0298215663036565,1.481704577871462,1.0298215663036565,1.014260445883543,3.794261403843824,44.08476582055169,44.08476582055169,8.42722380405858,1.024741625768446,31.20973159799308,0.8670591674493445,0.0,1.0,0.0
gaussian_copula,0.0,20,397,1.8649978731454626,1.124437212691219,1.909205462556138,1.124437212691219,1.0680443451420476,1.4772675708726273,1.0580836327330672,1.5033024608446537,1.0580836327330672,1.0145286737278458,-2.3703828324541725,39.70839168868493,39.70839168868493,-5.547072427350626,-1.7623679342427794,28.37562716495202,0.8720995974190636,0.0,1.0,0.0
gaussian_copula,0.3,1,399,1.2327080903491041,1.1057590328033227,1.2125629124509338,1.1057590328033227,1.1038767187049072,1.1241612617157208,1.0374346472498983,1.1382591787893297,1.0374346472498983,1.0353976694055764,1.634221277193463,10.298387634482822,10.298387634482822,15.636857421503436,-1.2540831599278106,7.714784116778617,0.8581997962559436,0.0,1.0,0.0
gaussian_copula,0.3,5,400,1.5692684144901428,1.1329223463701759,1.5692279208385558,1.1316068296504043,1.090820988508262,1.359220568160293,1.0438743439064535,1.3428817896148542,1.0447445289336543,1.0142395500986139,0.0025804158939971918,27.805700037729764,27.889529974509507,0.008463553023381696,1.202069695542741,23.136497974885884,0.8285897408721535,0.0,0.95,0.05
gaussian_copula,0.3,10,396,1.7480466190140362,1.134416678304156,1.6484565233898825,1.1073856370203357,1.0629715568503424,1.5077324081156083,1.0532396588693653,1.4632018661640707,1.0484510749779232,1.0132805485807241,5.697221947108385,35.10375146951118,36.65010847108056,14.537107117812065,2.9534777996310826,30.4617272047434,0.8586832911622545,0.0,0.9494949494949495,0.050505050505050504
gaussian_copula,0.3,20,400,1.7242340764387796,1.1525651873301521,1.6209862399581552,1.1330489993275346,1.0691982430938458,1.4797160932592568,1.068898103529187,1.420578415805173,1.065191796644075,1.0157766356868423,5.988040596777425,33.15494670476228,34.28682249061417,15.7621661632449,3.9965556719617545,28.013772270472582,0.8590657453741161,0.0,0.95,0.05
gaussian_copula,0.5,1,400,1.2127088934908459,1.097333180575544,1.2208633305149528,1.097333180575544,1.1022323370965657,1.1245858458329854,1.0402279659041112,1.1440688065980014,1.0402279659041112,1.0358582766545334,-0.672415042709378,9.513883631477864,9.513883631477864,-7.381146996476333,-1.7324565160772478,7.501239700059535,0.8583681964570916,0.0,1.0,0.0
gaussian_copula,0.5,5,399,1.5113849031854183,1.1040768410252533,1.4562660769460134,1.1040768410252533,1.0644183794510185,1.376773758679597,1.0482114169128947,1.349204263374145,1.0482114169128947,1.016216145382752,3.646908614955436,26.94932715694832,26.94932715694832,12.33175714791519,2.0024710037975035,23.864657478786636,0.7952722474279855,0.0,1.0,0.0
