drift_q,stale_qerr_gm,isomer_qerr_gm,oasis_qerr_gm,oasis_projected_qerr_gm,oasis_soft_projection_qerr_gm,hybrid_qerr_gm,aggressive_hybrid_qerr_gm,fresh_qerr_gm,oasis_improvement_pct,isomer_improvement_pct,oasis_projected_improvement_pct,oasis_soft_projection_improvement_pct,hybrid_improvement_pct,aggressive_hybrid_improvement_pct,stale_feedback_residual_mean,stale_worse_than_stale_frac,isomer_feedback_residual_mean,isomer_worse_than_stale_frac,oasis_feedback_residual_mean,oasis_worse_than_stale_frac,oasis_projected_feedback_residual_mean,oasis_projected_worse_than_stale_frac,oasis_soft_projection_feedback_residual_mean,oasis_soft_projection_worse_than_stale_frac,hybrid_feedback_residual_mean,hybrid_worse_than_stale_frac,aggressive_hybrid_feedback_residual_mean,aggressive_hybrid_worse_than_stale_frac,fresh_feedback_residual_mean,fresh_worse_than_stale_frac
5,1.3228123529273437,1.0091712931173922,1.4842924941201137,1.0152998421080865,1.0319238306949317,1.0083642670998874,1.008377345547531,1.0048635633046794,-12.20733544220534,23.710170162523305,23.246873234797157,21.990157680995683,23.771178514593714,23.77018982956862,0.16355991300014705,0.0,0.003435061424357202,0.0,0.09578958259745954,0.75,0.004379895851388146,0.0,0.020233617726202222,0.0,0.0029839233952619767,0.0,0.002980736903439662,0.0,0.0012990176070766931,0.0
10,1.179106643146617,1.0129204859797056,1.6993783407181877,1.028170243185189,1.0592022464575115,1.0151915120002863,1.015193575822375,1.0053020908233345,-44.12422748998769,14.094243140164114,12.80091167654119,10.169088384501277,13.901637489625147,13.901462456934036,0.2547429966960128,0.0,0.007714481312458622,0.0,0.0788296897577442,1.0,0.010101948470014293,0.0,0.02726549718256178,0.05,0.007333523287503306,0.0,0.0073322156518888775,0.0,0.001969061666932499,0.0
20,1.178603723712351,1.0169386592297327,1.6729203668986556,1.0296751372392206,1.0525411453665563,1.0186866201538145,1.0186866201538145,1.005129050087651,-41.94086894866685,13.716659911221708,12.636018661474877,10.69592567964442,13.568352139159348,13.568352139159348,0.2609064306204092,0.0,0.008406136432114849,0.0,0.0766513565321659,0.95,0.010966310844088355,0.0,0.02126491140635825,0.0,0.00691525461878865,0.0,0.00691525461878865,0.0,0.0017572067490080616,0.0
30,1.1780339005772928,1.0257578987083318,1.6377023286741217,1.0368510595778482,1.040394043658887,1.0269508889905077,1.0269373408736946,1.0045992570265474,-39.019966052892826,12.926283513092326,11.984616141374058,11.683862141060267,12.825013907727723,12.826163969437019,0.271266222668627,0.0,0.017311686302979037,0.05,0.07934535120975938,0.95,0.0107374444851026,0.05,0.020263942924103946,0.0,0.009365262891658326,0.05,0.009364404958132126,0.05,0.0018364212992375037,0.0
all,1.213093376124378,1.0161784193517491,1.6213618545948398,1.0274696157914258,1.04596190791512,1.0172762976643785,1.0172767580235726,1.004973454946279,-33.655156849904536,16.232464923824573,15.301687733716577,13.777296249297319,16.141962549132117,16.1419245999352,0.237618890746299,0.0,0.009216841367977426,0.0125,0.08265399502428225,0.9125,0.009046399912648348,0.0125,0.02225699230980655,0.0125,0.006649491048303065,0.0125,0.006648153033062329,0.0125,0.0017154268305636892,0.0
