method,n_cases,qerror_gm,feedback_residual_mean,feedback_residual_max,stage1_ms_mean,projection_ms_mean,total_ms_mean
stale,24,2.0350192872966772,0.12666436682795268,0.7374879293522685,0.0,0.0,0.0
isomer,24,1.3615650085401072,0.044477358862116144,0.5248312807170837,0.0,53.04221004189458,53.04221004189458
oasis_no_proj,24,1.186655380597142,0.07016858915129669,0.5678860180328622,1.0065850365208462,0.0,1.0065850365208462
oasis_full,24,1.2800028415028606,0.0400055475660901,0.5321261353061765,1.0065850365208462,53.01461823789092,54.02120327441177
oasis_fast_iter_25,24,1.2810225060413678,0.041814428473727246,0.531886686942777,1.0065850365208462,8.68577600340359,9.692361039924435
oasis_fast_iter_50,24,1.277972379172386,0.04051286665929602,0.5321261353061765,1.0065850365208462,15.463312583354613,16.469897619875457
oasis_fast_iter_100,24,1.2802211840874365,0.0400233554020192,0.5321261353061765,1.0065850365208462,28.631090268997166,29.637675305518012
fresh,24,1.0,0.06087735872615661,0.5856615791524599,0.0,0.0,0.0
