config_id,drift_family,row_count,seed,family,method,n,row_qerr_gm,qerr_improvement_pct,beats_stale_qerr_frac,fresh_plan_match_frac,fresh_root_match_frac,fresh_scan_match_frac,fresh_join_match_frac,stale_fresh_changed_queries,plan_recovery_frac,new_plan_deviation_frac
left_shift_rows100000_seed20260529,left_shift,100000,20260529,all,stale,84,34.90203066776028,0.0,0.0,0.5238095238095238,0.6071428571428571,0.5238095238095238,0.6904761904761905,40,0.0,0.0
left_shift_rows100000_seed20260529,left_shift,100000,20260529,all,isomer,84,2.4196561962683165,93.0672910716814,0.9642857142857143,0.9166666666666666,0.9285714285714286,0.9166666666666666,0.9404761904761905,40,0.825,0.0
left_shift_rows100000_seed20260529,left_shift,100000,20260529,all,oasis,84,2.3615155361384685,93.23387352839659,0.9642857142857143,0.9404761904761905,0.9523809523809523,0.9404761904761905,0.9642857142857143,40,0.95,0.06818181818181818
left_shift_rows100000_seed20260529,left_shift,100000,20260529,all,oasis_projected,84,1.9796097016736818,94.32809591935208,1.0,0.9880952380952381,0.9880952380952381,0.9880952380952381,0.9880952380952381,40,0.975,0.0
left_shift_rows100000_seed20260529,left_shift,100000,20260529,all,oasis_soft_projection,84,2.017228518204186,94.22031188555587,0.9761904761904762,0.9761904761904762,0.9761904761904762,0.9761904761904762,0.9761904761904762,40,0.95,0.0
left_shift_rows100000_seed20260529,left_shift,100000,20260529,all,hybrid,84,1.985398210986157,94.31151089778822,1.0,0.9880952380952381,0.9880952380952381,0.9880952380952381,0.9880952380952381,40,0.975,0.0
left_shift_rows100000_seed20260529,left_shift,100000,20260529,all,aggressive_hybrid,84,2.026624100158403,94.19339201363309,1.0,0.9761904761904762,0.9761904761904762,0.9761904761904762,0.9761904761904762,40,0.95,0.0
left_shift_rows100000_seed20260529,left_shift,100000,20260529,all,calibrated_hybrid,84,1.9778875196890309,94.33303025111358,1.0,0.9880952380952381,0.9880952380952381,0.9880952380952381,0.9880952380952381,40,0.975,0.0
left_shift_rows100000_seed20260529,left_shift,100000,20260529,all,fresh,84,1.332759704553668,96.18142646987941,1.0,1.0,1.0,1.0,1.0,40,1.0,0.0
left_shift_rows100000_seed20260529,left_shift,100000,20260529,scan,stale,28,35.67354492332601,0.0,0.0,0.75,0.75,0.75,1.0,7,0.0,0.0
