source,label,none_qerr,none_resid,none_qmae,hard_qerr,hard_resid,hard_qmae,router_qerr,router_resid,router_qmae,cases
stale,Stale prior,1.0395117716119855,0.0048486104967934976,0.004811660405282333,1.038609358985509,0.0010213641793007855,0.005072654901994454,1.0384906182155456,0.0009546551285986088,0.005046328233259358,512
lininterp,LinInterp,1.0828613507556728,0.01784346293952374,0.01722813047277388,1.05457380582529,0.00264900106427548,0.009120544408088382,1.0392803970011577,0.0008581239318970189,0.005342183641735054,512
feedavg,FeedAvg,1.0556001923627172,0.008654234013062492,0.009431257039477437,1.0451742629099041,0.0015863415966976076,0.006811937131026461,1.0394251216599826,0.0008763288771572895,0.005306888841614111,512
stholes,STHoles,1.0777798723066998,0.01880013071535638,0.014560887237269454,1.049502165709169,0.0026828273568394153,0.0074650978132746165,1.0390274454372557,0.0008326364146466596,0.005147183218903761,512
quicksel_h,QuickSel-H,1.0773341786334965,0.008907042236591027,0.014328825796992288,1.0664462916575785,0.001931036442051164,0.01105893501014548,1.0416336448210606,0.0009154905286018254,0.005674190812280309,512
lqm,LQM (learned QD),1.0403837719360416,0.004517799615089636,0.004964164247495454,1.039065236290748,0.0010014790282007273,0.005113654518270464,1.0384840184909505,0.0009058677148386291,0.005020843569122368,512
oasis_mlp,OASIS MLP,1.2234578666275069,0.03094174465957716,0.05588817607595196,1.1661044255588022,0.005927593549343001,0.03936548777375057,1.0469523207471743,0.0008682469315168652,0.0069771535705715785,512
