trace,label,method,n_cases,qerror_gm,qerror_improvement_pct,selectivity_mae_mean,quantile_mae_mean,feedback_residual_mean,beats_stale_frac,hybrid_isomer_frac,hybrid_oasis_projected_frac,hybrid_oasis_frac,hybrid_stale_frac
tpcds_sales_append,Sales append,stale,96,1.5285651633954944,0.0,0.16103076906876138,0.17653750661507117,0.09445462150811834,0.0,0.6875,0.19791666666666666,0.11458333333333333,0.0
tpcds_sales_append,Sales append,isomer,96,1.1282558896234558,26.188564502072474,0.04280600644564561,0.047151560447660675,0.04763212851527308,0.9895833333333334,0.6875,0.19791666666666666,0.11458333333333333,0.0
tpcds_sales_append,Sales append,oasis,96,1.1325524366345197,25.90748083524864,0.03915512482347062,0.04307643887813348,0.0745980406998932,1.0,0.6875,0.19791666666666666,0.11458333333333333,0.0
tpcds_sales_append,Sales append,oasis_projected,96,1.1143619927248767,27.09751475367417,0.03449356792555621,0.03768709273200107,0.051852275067262255,1.0,0.6875,0.19791666666666666,0.11458333333333333,0.0
tpcds_sales_append,Sales append,oasis_soft_projection,96,1.1811028188988415,22.731274584644712,0.05521934169606329,0.060161386475444716,0.040627302395232226,1.0,0.6875,0.19791666666666666,0.11458333333333333,0.0
tpcds_sales_append,Sales append,hybrid,96,1.1347927077667261,25.76092044084386,0.04478750757269171,0.0491328235178316,0.04664258006375621,0.9895833333333334,0.6875,0.19791666666666666,0.11458333333333333,0.0
tpcds_sales_append,Sales append,aggressive_hybrid,96,1.1376620170242804,25.573207850876123,0.045560882290754105,0.049974614454016596,0.04593514267983484,0.9895833333333334,0.6875,0.19791666666666666,0.11458333333333333,0.0
tpcds_sales_append,Sales append,fresh,96,1.0,34.5791711111197,0.0,0.0,0.07735722185704878,1.0,0.6875,0.19791666666666666,0.11458333333333333,0.0
promotion_price_revision,Promotion price,stale,96,1.024689443474993,0.0,0.012153988967121242,0.01379383689237175,0.017686561884059336,0.0,0.5625,0.3645833333333333,0.020833333333333332,0.052083333333333336
promotion_price_revision,Promotion price,isomer,96,1.0178293349517795,0.6694817212080326,0.005360729139868466,0.006311548094884729,0.0125238763870019,0.8020833333333334,0.5625,0.3645833333333333,0.020833333333333332,0.052083333333333336
promotion_price_revision,Promotion price,oasis,96,1.027416717057378,-0.2661561119568294,0.01136473582968528,0.012911468388304792,0.019404146538222356,0.375,0.5625,0.3645833333333333,0.020833333333333332,0.052083333333333336
promotion_price_revision,Promotion price,oasis_projected,96,1.0198995752327027,0.4674458464260653,0.005913703675432161,0.00700307642496862,0.01299915312338641,0.6770833333333334,0.5625,0.3645833333333333,0.020833333333333332,0.052083333333333336
promotion_price_revision,Promotion price,oasis_soft_projection,96,1.0192663997184814,0.5292377891705905,0.0059247999048226705,0.006862658489686971,0.012982331679971272,0.6979166666666666,0.5625,0.3645833333333333,0.020833333333333332,0.052083333333333336
