trace,label,method,n_cases,qerror_gm,qerror_improvement_pct,selectivity_mae_mean,quantile_mae_mean,feedback_residual_mean,beats_stale_frac,hybrid_isomer_frac,hybrid_oasis_projected_frac,hybrid_oasis_frac,hybrid_stale_frac
tpcds_sales_append,Sales append,stale,96,1.528565163395494,0.0,0.16103076906876132,0.1765375066150712,0.0944546215081184,0.0,0.6875,0.23958333333333334,0.07291666666666667,0.0
tpcds_sales_append,Sales append,isomer,96,1.128255889623456,26.188564502072442,0.04280600644564563,0.04715156044766069,0.04763212851527308,0.9895833333333334,0.6875,0.23958333333333334,0.07291666666666667,0.0
tpcds_sales_append,Sales append,oasis,96,1.1320216804467969,25.942203344987348,0.041669888112838616,0.04586411076176768,0.08079994237307818,1.0,0.6875,0.23958333333333334,0.07291666666666667,0.0
tpcds_sales_append,Sales append,oasis_projected,96,1.1208687433805216,26.671837732408594,0.03640052361816614,0.03972754103684961,0.05227751608619068,1.0,0.6875,0.23958333333333334,0.07291666666666667,0.0
tpcds_sales_append,Sales append,oasis_soft_projection,96,1.1273022264059558,26.250953940242145,0.03867766668431315,0.04201989482060933,0.05060338320653989,1.0,0.6875,0.23958333333333334,0.07291666666666667,0.0
tpcds_sales_append,Sales append,hybrid,96,1.1347679846161582,25.762537849846733,0.04301515495084301,0.047417579219599076,0.046430406890793384,1.0,0.6875,0.23958333333333334,0.07291666666666667,0.0
tpcds_sales_append,Sales append,aggressive_hybrid,96,1.1377275609031576,25.568919915991362,0.04453651509918341,0.04915643015760143,0.04591125473542516,1.0,0.6875,0.23958333333333334,0.07291666666666667,0.0
tpcds_sales_append,Sales append,fresh,96,1.0,34.57917111111968,0.0,0.0,0.07735722185704878,1.0,0.6875,0.23958333333333334,0.07291666666666667,0.0
promotion_price_revision,Promotion price,stale,96,1.024689443474993,0.0,0.012153988967121242,0.013793836892371748,0.017686561884059333,0.0,0.6875,0.2604166666666667,0.0,0.052083333333333336
promotion_price_revision,Promotion price,isomer,96,1.0178293349517795,0.6694817212080326,0.005360729139868466,0.006311548094884731,0.012523876387001904,0.8020833333333334,0.6875,0.2604166666666667,0.0,0.052083333333333336
promotion_price_revision,Promotion price,oasis,96,1.0862281564213845,-6.005596460298988,0.02829635832332264,0.03128421543722045,0.055181018853667156,0.052083333333333336,0.6875,0.2604166666666667,0.0,0.052083333333333336
promotion_price_revision,Promotion price,oasis_projected,96,1.025648912457191,-0.09363509971804788,0.007676373453757111,0.009155039884228526,0.014795016901906972,0.5520833333333334,0.6875,0.2604166666666667,0.0,0.052083333333333336
promotion_price_revision,Promotion price,oasis_soft_projection,96,1.034122591422147,-0.920586037771972,0.010017160943187038,0.011860048806394572,0.018528060049212366,0.3541666666666667,0.6875,0.2604166666666667,0.0,0.052083333333333336
promotion_price_revision,Promotion price,hybrid,96,1.0189806616316621,0.5571231244435193,0.005831638847131238,0.006931247255708917,0.01223826230648896,0.71875,0.6875,0.2604166666666667,0.0,0.052083333333333336
promotion_price_revision,Promotion price,aggressive_hybrid,96,1.0191934295558056,0.5363589870262415,0.00581437000173331,0.006903538940113613,0.012023470613733815,0.7395833333333334,0.6875,0.2604166666666667,0.0,0.052083333333333336
promotion_price_revision,Promotion price,fresh,96,1.0,2.409456214486262,0.0,0.0,0.014778214739583339,1.0,0.6875,0.2604166666666667,0.0,0.052083333333333336
inventory_restock,Inventory restock,stale,96,1.2222511784129648,0.0,0.07258015805752212,0.08107744565386234,0.06935663247564992,0.0,0.8020833333333334,0.19791666666666666,0.0,0.0
inventory_restock,Inventory restock,isomer,96,1.042271031691975,14.725299504696368,0.01446209283557069,0.017183688510003816,0.0273631901721519,1.0,0.8020833333333334,0.19791666666666666,0.0,0.0
inventory_restock,Inventory restock,oasis,96,1.1706000383020885,4.225902255045718,0.05363535187574061,0.06115919036284373,0.10394616031564723,0.8333333333333334,0.8020833333333334,0.19791666666666666,0.0,0.0
inventory_restock,Inventory restock,oasis_projected,96,1.0644664472806962,12.909353978872382,0.016364152110748084,0.019082731230230375,0.03322154940264111,0.96875,0.8020833333333334,0.19791666666666666,0.0,0.0
inventory_restock,Inventory restock,oasis_soft_projection,96,1.0767839614811099,11.901581238051023,0.016072039977444885,0.01831868423762632,0.03842694922668479,0.96875,0.8020833333333334,0.19791666666666666,0.0,0.0
inventory_restock,Inventory restock,hybrid,96,1.0424008699264238,14.714676628094411,0.014291534100586513,0.016960801968287673,0.027047906361311585,1.0,0.8020833333333334,0.19791666666666666,0.0,0.0
inventory_restock,Inventory restock,aggressive_hybrid,96,1.0445763847034886,14.536684181411758,0.014874741370803177,0.01752967901573747,0.026762064216139966,1.0,0.8020833333333334,0.19791666666666666,0.0,0.0
inventory_restock,Inventory restock,fresh,96,1.0,18.183756525524274,0.0,0.0,0.034279245502364726,1.0,0.8020833333333334,0.19791666666666666,0.0,0.0
