method,bike:temp~atemp,bike:casual~cnt,wwhite:freeSO2~totSO2,wred:fixedAcid~pH,wred:density~alcohol,forest:hill9~hill3,forest:elev~roadway,census:age~hours
marg160,1.259600,1.309705,1.214439,1.233164,1.212632,1.315171,1.160351,1.103225
marg_a1.25,1.271837,1.311646,1.217280,1.239501,1.215516,1.323430,1.162383,1.104597
marg80,1.274688,1.313026,1.218505,1.240684,1.216436,1.326948,1.163234,1.105173
marg_a1,1.274688,1.313026,1.218505,1.240684,1.216436,1.326948,1.163234,1.105173
marg_pass2,1.276715,1.313092,1.218547,1.240536,1.216440,1.327618,1.163172,1.105183
marg_pass4,1.278062,1.313133,1.218551,1.240483,1.216439,1.327804,1.163166,1.105184
marg_a0.75,1.279620,1.315749,1.220545,1.242887,1.217976,1.332442,1.164589,1.106388
marg_a0.5,1.288336,1.321524,1.224393,1.247071,1.220516,1.341338,1.167054,1.108788
marg40,1.295064,1.321164,1.225255,1.250239,1.221159,1.343384,1.168248,1.109409
marg20,1.319395,1.336023,1.234811,1.262596,1.227473,1.363887,1.174725,1.115673
mix_marg_avi_w0.75,1.373405,1.402940,1.284365,1.307821,1.257719,1.446904,1.198618,1.121682
ipf160,1.492654,1.464294,1.325466,1.368157,1.293172,1.452809,1.231673,1.138489
ipf80,1.492724,1.464741,1.325418,1.368203,1.293195,1.452599,1.231743,1.138361
soft_a1.25,1.492747,1.464490,1.325331,1.368412,1.293224,1.452854,1.231711,1.138461
soft_a0.75,1.493048,1.465025,1.325534,1.368329,1.293287,1.452386,1.231784,1.138376
soft_a1.5,1.492926,1.464251,1.325292,1.368769,1.293325,1.453012,1.231662,1.138720
oasis_ipf40,1.493204,1.465523,1.325737,1.369012,1.293517,1.451537,1.231847,1.138319
ipf40,1.493204,1.465523,1.325737,1.369012,1.293517,1.451537,1.231847,1.138319
soft_a0.5,1.494326,1.465467,1.325840,1.369248,1.293620,1.452264,1.231910,1.138584
ipf20,1.498527,1.466685,1.326292,1.370947,1.295127,1.451872,1.232159,1.139041
soft_a0.25,1.499382,1.467508,1.327478,1.372290,1.295045,1.453137,1.232457,1.139259
ipf10,1.510685,1.468525,1.329091,1.376399,1.298186,1.454981,1.233346,1.140270
mix_marg_avi_w0.5,1.473799,1.543288,1.354306,1.380792,1.312122,1.566453,1.236809,1.144042
mix_ipf_avi_w0.75,1.524575,1.520809,1.363168,1.401959,1.316671,1.542052,1.248612,1.146157
mix_ipf_avi_w0.5,1.569237,1.627284,1.405261,1.442553,1.352154,1.631143,1.269070,1.159418
mix_marg_avi_w0.25,1.584751,1.752788,1.429310,1.458835,1.373681,1.686564,1.277117,1.169269
mix_ipf_avi_w0.25,1.632030,1.803163,1.454465,1.489431,1.395450,1.721163,1.292718,1.176654
avi,1.719346,2.107072,1.512968,1.546765,1.446923,1.818152,1.319764,1.196760
