method,bike:temp~atemp,bike:casual~cnt,wwhite:freeSO2~totSO2,wred:fixedAcid~pH,wred:density~alcohol,forest:hill9~hill3,forest:elev~roadway,census:age~hours
marg160,1.315335,1.313416,1.209761,1.217927,1.179200,1.341616,1.149960,1.097099
marg_a1.25,1.331696,1.316573,1.214002,1.223274,1.181709,1.352197,1.152797,1.099133
marg_pass4,1.329395,1.317915,1.214764,1.224715,1.183730,1.353991,1.153762,1.099614
marg_pass2,1.329820,1.317942,1.214743,1.224708,1.183704,1.354011,1.153761,1.099617
marg80,1.330405,1.317947,1.214602,1.224616,1.183549,1.354186,1.153762,1.099638
marg_a1,1.330405,1.317947,1.214602,1.224616,1.183549,1.354186,1.153762,1.099638
marg_a0.75,1.331245,1.320244,1.215905,1.226985,1.186443,1.358003,1.155488,1.100500
marg_a0.5,1.335776,1.324613,1.218601,1.232002,1.191033,1.365640,1.158666,1.102247
marg40,1.347900,1.324107,1.220063,1.234103,1.190818,1.371137,1.158939,1.103801
marg20,1.369010,1.335109,1.227792,1.247484,1.200277,1.389302,1.165977,1.109182
mix_marg_avi_w0.75,1.410729,1.403051,1.276108,1.285932,1.231801,1.478923,1.193235,1.115626
soft_a1.5,1.513158,1.464662,1.313460,1.339222,1.274806,1.480553,1.215392,1.132565
soft_a1.25,1.513373,1.464687,1.313438,1.339508,1.274815,1.480638,1.215370,1.132566
ipf160,1.513548,1.464713,1.313527,1.339552,1.274767,1.480563,1.215348,1.132539
ipf80,1.513987,1.464528,1.313320,1.339821,1.274968,1.480949,1.215386,1.132568
soft_a0.75,1.514640,1.463981,1.313191,1.340314,1.275321,1.481195,1.215469,1.132482
soft_a0.5,1.515454,1.463011,1.313066,1.341347,1.276010,1.481402,1.215714,1.132276
oasis_ipf40,1.516341,1.463507,1.312746,1.340688,1.275781,1.481796,1.215568,1.132480
ipf40,1.516341,1.463507,1.312746,1.340688,1.275781,1.481796,1.215568,1.132480
ipf20,1.518247,1.462094,1.312605,1.342430,1.277975,1.483579,1.216134,1.132596
soft_a0.25,1.518062,1.461735,1.313806,1.344679,1.278195,1.483955,1.216545,1.132056
ipf10,1.521253,1.463836,1.315821,1.347212,1.281549,1.490057,1.217679,1.133004
mix_marg_avi_w0.5,1.507335,1.539197,1.341374,1.354962,1.287844,1.605223,1.235968,1.137205
mix_ipf_avi_w0.75,1.553959,1.515953,1.349330,1.371599,1.301995,1.581253,1.237041,1.139329
mix_ipf_avi_w0.5,1.599438,1.618418,1.389601,1.412255,1.335729,1.674863,1.262894,1.151566
mix_marg_avi_w0.25,1.613222,1.749257,1.411818,1.427857,1.349331,1.731711,1.278886,1.160708
mix_ipf_avi_w0.25,1.660006,1.795178,1.435593,1.457565,1.374995,1.768042,1.291430,1.167294
avi,1.741206,2.102992,1.490162,1.510790,1.421796,1.871808,1.323100,1.186791
