method,bike:temp~atemp,bike:casual~cnt,wwhite:freeSO2~totSO2,wred:fixedAcid~pH,wred:density~alcohol,forest:hill9~hill3,forest:elev~roadway,census:age~hours
marg160,1.298113,1.287253,1.205817,1.221028,1.188131,1.337994,1.169398,1.094694
marg_a1.25,1.308422,1.290588,1.208196,1.226584,1.190495,1.346315,1.170670,1.096735
marg_pass4,1.308071,1.292079,1.209373,1.227421,1.191971,1.349211,1.171105,1.096987
marg_pass2,1.308358,1.292092,1.209366,1.227434,1.191954,1.349098,1.171114,1.096983
marg80,1.309899,1.292218,1.209326,1.227505,1.191816,1.348567,1.171190,1.096942
marg_a1,1.309899,1.292218,1.209326,1.227505,1.191816,1.348567,1.171190,1.096942
marg_a0.75,1.313172,1.294782,1.211223,1.229682,1.193800,1.352330,1.172540,1.097733
marg_a0.5,1.319875,1.299121,1.214823,1.234638,1.196888,1.359130,1.175362,1.099969
marg40,1.325728,1.299791,1.214913,1.237302,1.197919,1.362568,1.175169,1.101182
marg20,1.344815,1.309921,1.223528,1.251122,1.205045,1.378983,1.181661,1.107973
mix_marg_avi_w0.75,1.396843,1.377790,1.269300,1.293784,1.233453,1.450224,1.206632,1.113101
ipf160,1.492448,1.435798,1.311323,1.356777,1.265018,1.475286,1.236548,1.139592
ipf80,1.492504,1.435706,1.311545,1.357077,1.264628,1.475447,1.236580,1.139473
soft_a1.25,1.492552,1.435812,1.311320,1.356896,1.264912,1.475386,1.236541,1.139664
soft_a0.75,1.492700,1.435636,1.311773,1.357570,1.264330,1.475188,1.236722,1.139395
soft_a1.5,1.492551,1.435904,1.311239,1.356802,1.265158,1.475158,1.236595,1.139820
oasis_ipf40,1.492436,1.435650,1.311664,1.358336,1.263971,1.474968,1.236855,1.139595
ipf40,1.492436,1.435650,1.311664,1.358336,1.263971,1.474968,1.236855,1.139595
soft_a0.5,1.493901,1.435803,1.312039,1.358433,1.264011,1.474678,1.237058,1.139577
ipf20,1.496055,1.436598,1.312452,1.360515,1.264092,1.475395,1.237763,1.139885
soft_a0.25,1.498312,1.436272,1.313796,1.361788,1.264298,1.475453,1.238152,1.139644
ipf10,1.503014,1.440186,1.314614,1.364549,1.266391,1.479119,1.239755,1.140375
mix_marg_avi_w0.5,1.480744,1.514852,1.337102,1.367599,1.286237,1.566944,1.244806,1.135347
mix_ipf_avi_w0.75,1.520775,1.489070,1.344924,1.391277,1.289026,1.556972,1.254416,1.144767
mix_ipf_avi_w0.5,1.557298,1.596484,1.386821,1.431418,1.325429,1.639969,1.275272,1.155106
mix_marg_avi_w0.25,1.573970,1.725675,1.410196,1.444760,1.346570,1.687648,1.284453,1.160002
mix_ipf_avi_w0.25,1.610971,1.775336,1.435272,1.477156,1.367491,1.725830,1.299352,1.168843
avi,1.687765,2.088128,1.491037,1.531704,1.418633,1.822498,1.326478,1.186074
