method,bike:temp~atemp,bike:casual~cnt,wwhite:freeSO2~totSO2,wred:fixedAcid~pH,wred:density~alcohol,forest:hill9~hill3,forest:elev~roadway,census:age~hours
marg160,1.273299,1.301925,1.200205,1.226108,1.190421,1.330021,1.140801,1.103448
marg_a1.25,1.284790,1.303580,1.203682,1.230816,1.193304,1.338613,1.142024,1.106746
marg_pass2,1.286225,1.304352,1.205460,1.232696,1.194688,1.340090,1.142822,1.107830
marg80,1.285819,1.304038,1.205605,1.232850,1.194588,1.340544,1.142859,1.107865
marg_a1,1.285819,1.304038,1.205605,1.232850,1.194588,1.340544,1.142859,1.107865
marg_pass4,1.287062,1.304464,1.205442,1.232674,1.194697,1.339965,1.142816,1.107826
marg_a0.75,1.289164,1.305688,1.208457,1.235984,1.196384,1.344426,1.144411,1.109808
marg_a0.5,1.295874,1.309638,1.213219,1.241064,1.199455,1.351460,1.147111,1.113066
marg40,1.305215,1.309448,1.214067,1.243143,1.199874,1.355422,1.146941,1.114289
marg20,1.329643,1.322232,1.225887,1.257022,1.206131,1.372680,1.152944,1.122143
mix_marg_avi_w0.75,1.373453,1.391012,1.264610,1.300561,1.241875,1.456184,1.179531,1.124070
ipf160,1.500405,1.450100,1.312809,1.349266,1.261080,1.477276,1.203328,1.144539
soft_a1.25,1.500697,1.450145,1.312620,1.349352,1.261144,1.477673,1.203345,1.144513
ipf80,1.500952,1.450115,1.312708,1.349480,1.261199,1.477606,1.203365,1.144451
soft_a1.5,1.500546,1.450150,1.312536,1.349494,1.261143,1.478123,1.203331,1.144714
soft_a0.75,1.501266,1.450005,1.312962,1.349927,1.261404,1.477667,1.203374,1.144482
soft_a0.5,1.501721,1.449626,1.313729,1.350950,1.261954,1.478209,1.203417,1.144631
oasis_ipf40,1.503140,1.450146,1.313153,1.351190,1.261686,1.477795,1.203439,1.144340
ipf40,1.503140,1.450146,1.313153,1.351190,1.261686,1.477795,1.203439,1.144340
ipf20,1.507385,1.449273,1.316036,1.353982,1.263016,1.479621,1.203785,1.144727
soft_a0.25,1.503793,1.448081,1.316863,1.354594,1.263675,1.480284,1.204058,1.145317
ipf10,1.516257,1.448421,1.322246,1.359769,1.265943,1.483576,1.205173,1.145993
mix_marg_avi_w0.5,1.465428,1.533396,1.330062,1.376749,1.296842,1.573803,1.219588,1.145383
mix_ipf_avi_w0.75,1.520820,1.503815,1.344766,1.390266,1.291826,1.567918,1.222443,1.152191
mix_ipf_avi_w0.5,1.558121,1.616250,1.382452,1.437281,1.330759,1.651767,1.246447,1.163794
mix_marg_avi_w0.25,1.570646,1.746522,1.399912,1.456709,1.356711,1.692872,1.260453,1.169457
mix_ipf_avi_w0.25,1.616203,1.796994,1.425684,1.488121,1.374864,1.735204,1.273197,1.178311
avi,1.699909,2.108292,1.477280,1.547903,1.426988,1.825018,1.302356,1.195839
