estimator,stale_qerr_gm,isomer_qerr_gm,oasis_qerr_gm,oasis_projected_qerr_gm,hybrid_qerr_gm,fresh_qerr_gm,oasis_improvement_pct,isomer_improvement_pct,oasis_projected_improvement_pct,hybrid_improvement_pct
independence,1.9241104692916955,1.1914790325123397,1.798001232793917,1.1913045808608769,1.1846238903711583,1.138207737045165,6.554157804889544,38.07637079429501,38.08543740737399,38.43264670727338
ipf_sinkhorn,1.668288090607243,1.3021136817031498,1.563814381412712,1.2801951165317833,1.2738595730829407,1.2481281772391823,6.262330216389879,21.949111245576823,23.262946985025657,23.642710137715696
gaussian_copula,1.644614355883947,1.2512112979484074,1.5576373259037994,1.2238008734602592,1.216170728893484,1.1816287584876217,5.288597273212976,23.920687334879396,25.587365263968465,26.051312604539632
clayton_copula,1.8358298791790126,1.3102646801968625,1.5707223067017095,1.2558404219423307,1.2505931609651626,1.2224490247460078,14.440748322271551,28.62820814405658,31.592767053996013,31.87859206625231
gumbel_copula,1.6392628937877434,1.25424667182588,1.5345786237320258,1.233792360797714,1.2258784363467543,1.192171379833304,6.38605744401559,23.48715531968336,24.734930225446252,25.217703579308576
frank_copula,1.6207088845800761,1.2908634001763537,1.5523676916284614,1.2603717661703011,1.2534031157701833,1.2209122188368904,4.216746980400604,20.35192671194525,22.233303083492256,22.66327853845642
