family,method,n_configs,row_qerr_gm_mean,row_qerr_gm_std,qerr_improvement_pct_mean,qerr_improvement_pct_std,fresh_plan_match_frac_mean,fresh_plan_match_frac_std,plan_recovery_frac_mean,plan_recovery_frac_std,new_plan_deviation_frac_mean,new_plan_deviation_frac_std,stale_fresh_changed_queries_mean
all,stale,6,16.48505181407773,10.473442652998349,0.0,0.0,0.6071428571428572,0.1308441110860389,0.0,0.0,0.0,0.0,33.0
all,isomer,6,2.324953662106235,0.6769170068260896,65.58254837158556,39.24935196836125,0.9007936507936508,0.0416950017033768,0.8657059314954051,0.06991725090347033,0.07501459892764241,0.039204349617503194,33.0
all,oasis,6,3.150126575613214,0.6861352848826097,55.155268791634455,49.816931055566606,0.8472222222222222,0.057546523950150745,0.87531328320802,0.05888791052813224,0.15833466050857356,0.0659358588785574,33.0
all,oasis_projected,6,2.3255288456549956,0.6696214727174795,65.6347776870323,39.14140469285458,0.9087301587301587,0.0535934698924893,0.8648705096073517,0.09148870981237073,0.05983171417954027,0.05057066827249288,33.0
all,oasis_soft_projection,6,2.3624095473876814,0.6601463678402145,65.34087617589368,39.27155279405066,0.9107142857142857,0.05148035312009439,0.8648705096073517,0.09148870981237073,0.057267611615437704,0.04596699228301292,33.0
all,hybrid,6,2.324953662106235,0.6769170068260896,65.58254837158556,39.24935196836125,0.9007936507936508,0.0416950017033768,0.8657059314954051,0.06991725090347033,0.07501459892764241,0.039204349617503194,33.0
all,aggressive_hybrid,6,2.324953662106235,0.6769170068260896,65.58254837158556,39.24935196836125,0.9007936507936508,0.0416950017033768,0.8657059314954051,0.06991725090347033,0.07501459892764241,0.039204349617503194,33.0
all,calibrated_hybrid,6,2.324953662106235,0.6769170068260896,65.58254837158556,39.24935196836125,0.9007936507936508,0.0416950017033768,0.8657059314954051,0.06991725090347033,0.07501459892764241,0.039204349617503194,33.0
all,fresh,6,1.2276672951043661,0.09937561243188019,83.82966215654794,16.96968982010672,1.0,0.0,1.0,0.0,0.0,0.0,33.0
scan,stale,6,17.36404671465691,11.004136048954846,0.0,0.0,0.7321428571428572,0.07405871911902753,0.0,0.0,0.0,0.0,7.5
scan,isomer,6,2.434862848572711,0.7653351787146981,64.50213424352795,41.323834388576685,0.9642857142857143,0.03194382824999698,0.9481481481481482,0.08510463180056338,0.021739130434782608,0.036376522892785895,7.5
scan,oasis,6,3.288033091764387,0.8018692422069487,53.871508635736696,52.40104950695852,0.8928571428571428,0.05976143046671971,0.9481481481481482,0.08510463180056338,0.11794643613865581,0.0670262135785373,7.5
scan,oasis_projected,6,2.435980515742642,0.7584173197581559,64.53738726562142,41.244557285090735,0.9642857142857143,0.03194382824999698,0.9481481481481482,0.08510463180056338,0.021739130434782608,0.036376522892785895,7.5
scan,oasis_soft_projection,6,2.4756804942840533,0.7496711083979465,64.23337358675415,41.38466218624267,0.9642857142857143,0.03194382824999698,0.9481481481481482,0.08510463180056338,0.021739130434782608,0.036376522892785895,7.5
scan,hybrid,6,2.434862848572711,0.7653351787146981,64.50213424352795,41.323834388576685,0.9642857142857143,0.03194382824999698,0.9481481481481482,0.08510463180056338,0.021739130434782608,0.036376522892785895,7.5
scan,aggressive_hybrid,6,2.434862848572711,0.7653351787146981,64.50213424352795,41.323834388576685,0.9642857142857143,0.03194382824999698,0.9481481481481482,0.08510463180056338,0.021739130434782608,0.036376522892785895,7.5
scan,calibrated_hybrid,6,2.434862848572711,0.7653351787146981,64.50213424352795,41.323834388576685,0.9642857142857143,0.03194382824999698,0.9481481481481482,0.08510463180056338,0.021739130434782608,0.036376522892785895,7.5
scan,fresh,6,1.236970442690968,0.11510986953415504,84.11062236011553,16.967192447795625,1.0,0.0,1.0,0.0,0.0,0.0,7.5
join,stale,6,17.36404671465691,11.004136048954846,0.0,0.0,0.4226190476190476,0.21118792611334208,0.0,0.0,0.0,0.0,16.166666666666668
join,isomer,6,2.434862848572711,0.7653351787146981,64.50213424352795,41.323834388576685,0.8452380952380952,0.06649638116080452,0.8345216874628639,0.09310775459819264,0.16392876129718234,0.03641332633797771,16.166666666666668
join,oasis,6,3.288033091764387,0.8018692422069487,53.871508635736696,52.40104950695852,0.7916666666666666,0.08273595406616219,0.8193701723113488,0.06968154370032258,0.23960659223817116,0.0705886534230222,16.166666666666668
join,oasis_projected,6,2.435980515742642,0.7584173197581559,64.53738726562142,41.244557285090735,0.8452380952380952,0.06649638116080452,0.8345216874628639,0.09310775459819264,0.16392876129718234,0.03641332633797771,16.166666666666668
join,oasis_soft_projection,6,2.4756804942840533,0.7496711083979465,64.23337358675415,41.38466218624267,0.8511904761904762,0.061514336584589616,0.8345216874628639,0.09310775459819264,0.15515683147262094,0.028400875072294995,16.166666666666668
join,hybrid,6,2.434862848572711,0.7653351787146981,64.50213424352795,41.323834388576685,0.8452380952380952,0.06649638116080452,0.8345216874628639,0.09310775459819264,0.16392876129718234,0.03641332633797771,16.166666666666668
join,aggressive_hybrid,6,2.434862848572711,0.7653351787146981,64.50213424352795,41.323834388576685,0.8452380952380952,0.06649638116080452,0.8345216874628639,0.09310775459819264,0.16392876129718234,0.03641332633797771,16.166666666666668
join,calibrated_hybrid,6,2.434862848572711,0.7653351787146981,64.50213424352795,41.323834388576685,0.8452380952380952,0.06649638116080452,0.8345216874628639,0.09310775459819264,0.16392876129718234,0.03641332633797771,16.166666666666668
join,fresh,6,1.236970442690968,0.11510986953415504,84.11062236011553,16.967192447795625,1.0,0.0,1.0,0.0,0.0,0.0,16.166666666666668
join_dim_filter,stale,6,14.891628877138155,9.557044084565282,0.0,0.0,0.6666666666666666,0.12093738189714566,0.0,0.0,0.0,0.0,9.333333333333334
join_dim_filter,isomer,6,2.1265979027519832,0.5388142030953617,67.56833268466039,35.33881393345626,0.8928571428571429,0.03194382824999703,0.844949494949495,0.05614380940001766,0.08391943734015345,0.03606812574099528,9.333333333333334
join_dim_filter,oasis,6,2.9011823601248685,0.5088371568404961,57.508691901258636,44.92978849849115,0.8571428571428571,0.03194382824999703,0.9116161616161617,0.08140561902407589,0.1533461210571185,0.049718049543733364,9.333333333333334
join_dim_filter,oasis_projected,6,2.126278685486788,0.5318543200808833,67.64956426099529,35.180529320041316,0.9166666666666666,0.06649638116080449,0.8424242424242424,0.12631675607382328,0.043478260869565216,0.06735623210795508,9.333333333333334
join_dim_filter,oasis_soft_projection,6,2.1579990514235816,0.5202920788932339,67.37557502022166,35.294132424814215,0.9166666666666666,0.06649638116080449,0.8424242424242424,0.12631675607382328,0.043478260869565216,0.06735623210795508,9.333333333333334
join_dim_filter,hybrid,6,2.1265979027519832,0.5388142030953617,67.56833268466039,35.33881393345626,0.8928571428571429,0.03194382824999703,0.844949494949495,0.05614380940001766,0.08391943734015345,0.03606812574099528,9.333333333333334
join_dim_filter,aggressive_hybrid,6,2.1265979027519832,0.5388142030953617,67.56833268466039,35.33881393345626,0.8928571428571429,0.03194382824999703,0.844949494949495,0.05614380940001766,0.08391943734015345,0.03606812574099528,9.333333333333334
join_dim_filter,calibrated_hybrid,6,2.1265979027519832,0.5388142030953617,67.56833268466039,35.33881393345626,0.8928571428571429,0.03194382824999703,0.844949494949495,0.05614380940001766,0.08391943734015345,0.03606812574099528,9.333333333333334
join_dim_filter,fresh,6,1.21124592375842,0.09991511687291132,83.22647145961226,16.953587427432357,1.0,0.0,1.0,0.0,0.0,0.0,9.333333333333334
