method,n_cases,n_predicates,selectivity_qerr_gm,selectivity_mae_mean,quantile_mae_mean,feedback_residual_mean,feedback_residual_max,scan_regret_gm,join_regret_gm,join_optimal_match_frac,join_fresh_match_frac,risk_resolved_frac,new_risk_loss_frac
stale,256,8192,2.3653798142142084,0.1562137023121783,0.1697294162326389,0.11393403619258892,0.9046293130102764,1.1467361890169803,1.1352284942102235,0.8363037109375,0.8363037109375,0.0,0.0
isomer,256,8192,1.5785947708962689,0.08470681590997585,0.08128965057056128,0.05333997890035008,0.7724368218496671,1.0496597073580132,1.0533772774286658,0.9066162109375,0.9066162109375,0.51328125,0.01025390625
oasis_no_proj,256,8192,1.6255705393212807,0.09516142849186966,0.05074844264853993,0.06550932477990438,0.613691875240532,1.0592463726843742,1.0430635623976559,0.91455078125,0.91455078125,0.64765625,0.0224609375
oasis_full,256,8192,1.4562316998490952,0.07003071314073299,0.055769372401666656,0.0449453335391144,0.5468206585596037,1.036841568902476,1.0355616222135537,0.92333984375,0.92333984375,0.67109375,0.0169677734375
oasis_soft_projection,256,8192,1.4163908228818078,0.06560735627829133,0.04874871535213481,0.044402333912996535,0.5401109521552425,1.0299840544988312,1.029133358709724,0.9305419921875,0.9305419921875,0.70625,0.015380859375
oasis_damped_guarded,256,8192,1.4402891110639808,0.06933155391993415,0.05043954310737816,0.044418794020891376,0.5572375368320979,1.0346337560185581,1.031645750909022,0.9290771484375,0.9290771484375,0.69140625,0.0145263671875
oasis_aggressive_hybrid,256,8192,1.4091487629010742,0.06473281455117509,0.051552014878970834,0.0381013059115157,0.5468206585596037,1.0321171135871816,1.0294364291486577,0.9315185546875,0.9315185546875,0.67578125,0.01025390625
oasis_recency_hybrid,256,8192,1.4208019983124094,0.06657681493455112,0.05208625720458531,0.04196315112479488,0.5468206585596037,1.03329667012506,1.0322422122297148,0.9283447265625,0.9283447265625,0.6796875,0.0137939453125
residual_hybrid,256,8192,1.4210751373413912,0.0662139837669248,0.05310420404808549,0.040023379523639144,0.5468206585596037,1.0319387904325814,1.0321894129045355,0.9271240234375,0.9271240234375,0.6546875,0.01123046875
fresh,256,8192,1.0,0.0,0.0,0.05063453831564887,0.6861046955052728,1.0,1.0,1.0,1.0,1.0,0.0
