subset,method,n_queries,scan_qerr_gm,total_median_ms,geomean_ratio_vs_stale,geomean_ratio_vs_fresh,n_regressions_gt15pct_vs_stale
all,stale,6,5.247,39428.57,1.0,0.5677,0
all,isomer,6,2.0153,43772.92,1.5565,0.8836,2
all,oasis,6,2.6947,48645.15,1.8195,1.0329,6
all,oasis_projected,6,2.035,42969.77,1.6116,0.9149,2
all,calibrated_hybrid,6,2.0106,47386.73,1.7609,0.9996,4
all,fresh,6,2.0162,48774.08,1.7616,1.0,4
plan_change,stale,1,2.7183,63.38,1.0,0.0756,0
plan_change,isomer,1,35.6211,662.78,10.4566,0.7907,1
plan_change,oasis,1,19.1637,854.75,13.4852,1.0198,1
plan_change,oasis_projected,1,29.6339,807.22,12.7353,0.963,1
plan_change,calibrated_hybrid,1,34.3624,852.24,13.4457,1.0168,1
plan_change,fresh,1,35.2007,838.19,13.224,1.0,1
plan_stable,stale,5,5.9845,39365.18,1.0,0.8496,0
plan_stable,isomer,5,1.1347,43110.14,1.0634,0.9034,1
plan_stable,oasis,5,1.8202,47790.4,1.2189,1.0355,5
plan_stable,oasis_projected,5,1.191,42162.55,1.0659,0.9055,1
plan_stable,calibrated_hybrid,5,1.1396,46534.49,1.1726,0.9962,3
plan_stable,fresh,5,1.138,47935.89,1.1771,1.0,3
