drift_q,stale_qerr_gm,isomer_qerr_gm,oasis_qerr_gm,oasis_projected_qerr_gm,hybrid_qerr_gm,aggressive_hybrid_qerr_gm,fresh_qerr_gm,oasis_improvement_pct,isomer_improvement_pct,oasis_projected_improvement_pct,hybrid_improvement_pct,aggressive_hybrid_improvement_pct,stale_feedback_residual_mean,stale_worse_than_stale_frac,isomer_feedback_residual_mean,isomer_worse_than_stale_frac,oasis_feedback_residual_mean,oasis_worse_than_stale_frac,oasis_projected_feedback_residual_mean,oasis_projected_worse_than_stale_frac,hybrid_feedback_residual_mean,hybrid_worse_than_stale_frac,aggressive_hybrid_feedback_residual_mean,aggressive_hybrid_worse_than_stale_frac,fresh_feedback_residual_mean,fresh_worse_than_stale_frac
5,1.322812352927344,1.0091712931173922,1.2480921943126977,1.0103406391808674,1.0081344314080019,1.0081496555162113,1.0048635633046794,5.648583372334915,23.710170162523315,23.62177167872571,23.7885532912487,23.78740240176874,0.16355991300014705,0.0,0.003435061424357195,0.0,0.08718077246416991,0.25,0.0031763926004050335,0.0,0.0026083928692579744,0.0,0.0026060775688368292,0.0,0.001299017607076691,0.0
10,1.179106643146617,1.0129204859797056,1.4352042986067537,1.0308756061232065,1.0213021309805947,1.0214155334575734,1.0053020908233345,-21.719634686876404,14.094243140164114,12.571469924707959,13.383396072207523,13.373778411443944,0.25474299669601286,0.0,0.007714481312458636,0.0,0.10554106855888867,0.85,0.008635302194039646,0.05,0.005946635386804502,0.0,0.005925450734228935,0.0,0.001969061666932499,0.0
20,1.178603723712351,1.0169386592297305,1.446686861823031,1.0212122406700288,1.0205319066336345,1.0205659791705595,1.005129050087651,-22.745824802442947,13.716659911221896,13.354062936995694,13.41178666743254,13.408895743516428,0.26090643062040925,0.0,0.008406136432114875,0.0,0.11127670448001743,0.8,0.006366906272366403,0.0,0.005425161898782581,0.0,0.005415826724468399,0.0,0.0017572067490080618,0.0
30,1.1780339005772928,1.0257578987083313,1.3888837859669694,1.0336591351541131,1.0198847949189978,1.0195271378040176,1.0045992570265474,-17.898456511849957,12.926283513092365,12.255569670145249,13.424834852443082,13.455195363698733,0.271266222668627,0.0,0.01731168630297908,0.05,0.12140227669868356,0.8,0.009777824063387067,0.0,0.008710613034913264,0.0,0.008680967764302296,0.0,0.0018364212992375054,0.0
all,1.213093376124378,1.0161784193517485,1.3773687002463662,1.0239809118606829,1.0174488788468536,1.0174002391555823,1.004973454946279,-13.541853195738247,16.232464923824626,15.589275152740226,16.127736011763126,16.131745570485368,0.23761889074629905,0.0,0.009216841367977447,0.0125,0.1063502055504399,0.675,0.006989106282549537,0.0125,0.005672700797439581,0.0,0.005657080697959114,0.0,0.0017154268305636894,0.0
