q_mods,method,n,selectivity_qerr_gm,scan_regret_gm,join_regret_gm,scan_optimal_match_frac,join_optimal_match_frac,join_fresh_match_frac,risky_stale_cases,risk_resolved_frac,new_risk_loss_frac
5,stale,4096,1.969609173019835,1.0895156494061613,1.090610739944884,0.8564453125,0.865478515625,0.865478515625,528,0.0,0.0
5,isomer,4096,1.3618738036193,1.0216805055746288,1.0247378042871405,0.93310546875,0.932373046875,0.932373046875,528,0.5833333333333334,0.008544921875
5,oasis,4096,1.4890898234415824,1.0439757224903166,1.0328159344396044,0.907470703125,0.91552734375,0.91552734375,528,0.5871212121212122,0.024658203125
5,oasis_projected,4096,1.3358322686301325,1.0241151341550345,1.0221334244477478,0.93115234375,0.931884765625,0.931884765625,528,0.6534090909090909,0.016845703125
5,hybrid,4096,1.3469990779137782,1.0216700829002883,1.0236281136924619,0.93212890625,0.930908203125,0.930908203125,528,0.6060606060606061,0.01220703125
5,fresh,4096,1.0,1.0,1.0,1.0,1.0,1.0,528,1.0,0.0
10,stale,4096,2.736674456225734,1.1711819797927572,1.1812279656830975,0.800537109375,0.7900390625,0.7900390625,832,0.0,0.0
10,isomer,4096,1.5504761697784664,1.0390096464255583,1.0466926585857763,0.912353515625,0.899169921875,0.899169921875,832,0.5913461538461539,0.009765625
10,oasis,4096,1.6392440859525503,1.0584875282641637,1.0494804964571807,0.892822265625,0.904296875,0.904296875,832,0.6502403846153846,0.0185546875
10,oasis_projected,4096,1.4434696559653193,1.0312152681286662,1.0340894180105613,0.924560546875,0.92041015625,0.92041015625,832,0.7115384615384616,0.01318359375
10,hybrid,4096,1.4663192505768652,1.0311233248949698,1.0371034026378645,0.92138671875,0.914794921875,0.914794921875,832,0.671875,0.010986328125
10,fresh,4096,1.0,1.0,1.0,1.0,1.0,1.0,832,1.0,0.0
15,stale,4096,3.1177495682328016,1.2129232918804025,1.1979427335922928,0.770263671875,0.780517578125,0.780517578125,863,0.0,0.0
15,isomer,4096,1.7480754882119727,1.0661334229367347,1.0704657137362985,0.8818359375,0.87353515625,0.87353515625,863,0.5179606025492468,0.015625
15,oasis,4096,1.8886827627703655,1.0828358421106385,1.0678638862022494,0.865478515625,0.87939453125,0.87939453125,863,0.589803012746234,0.0244140625
15,oasis_projected,4096,1.5984101224518217,1.0441820594138815,1.0487064526258165,0.903076171875,0.8974609375,0.8974609375,863,0.6639629200463499,0.02294921875
15,hybrid,4096,1.5556652414312517,1.0438135363854208,1.0442901337496033,0.90234375,0.90185546875,0.90185546875,863,0.6535341830822712,0.015869140625
15,fresh,4096,1.0,1.0,1.0,1.0,1.0,1.0,863,1.0,0.0
20,stale,4096,3.1026102548946315,1.1992551436642263,1.2083411644327673,0.771240234375,0.774169921875,0.774169921875,892,0.0,0.0
20,isomer,4096,1.7867833318437738,1.065376069455929,1.0745358355418326,0.881591796875,0.87451171875,0.87451171875,892,0.5112107623318386,0.010986328125
20,oasis,4096,1.8377285575785665,1.0815334208100171,1.0609107745064643,0.86083984375,0.893310546875,0.893310546875,892,0.6547085201793722,0.0244140625
20,oasis_projected,4096,1.5970776562126536,1.0481834162753885,1.049802523363385,0.896484375,0.9033203125,0.9033203125,892,0.6804932735426009,0.019287109375
20,hybrid,4096,1.552053561574538,1.0451015250620803,1.0454485881296407,0.900634765625,0.90625,0.90625,892,0.6737668161434978,0.01513671875
20,fresh,4096,1.0,1.0,1.0,1.0,1.0,1.0,892,1.0,0.0
25,stale,4096,3.4451862243304405,1.2218085157346688,1.2335170064722618,0.75634765625,0.757568359375,0.757568359375,966,0.0,0.0
25,isomer,4096,1.7866860715653559,1.0648124788786633,1.0804356988095711,0.880859375,0.87158203125,0.87158203125,966,0.5341614906832298,0.010986328125
25,oasis,4096,1.890008721627951,1.080632922449886,1.0662187103109133,0.857421875,0.8837890625,0.8837890625,966,0.6180124223602484,0.0205078125
25,oasis_projected,4096,1.6064739700537713,1.0466977483216449,1.050289298326139,0.8955078125,0.901611328125,0.901611328125,966,0.6987577639751553,0.0205078125
25,hybrid,4096,1.5918297814459585,1.0469039765044612,1.0511214866474337,0.895751953125,0.899658203125,0.899658203125,966,0.6656314699792961,0.014892578125
25,fresh,4096,1.0,1.0,1.0,1.0,1.0,1.0,966,1.0,0.0
30,stale,4096,3.092433005601952,1.2080192684364268,1.2166298275169158,0.769775390625,0.769775390625,0.769775390625,922,0.0,0.0
30,isomer,4096,1.8022413270591757,1.0621650485820728,1.0795210902739594,0.885986328125,0.877685546875,0.877685546875,922,0.5422993492407809,0.01318359375
30,oasis,4096,1.855935781711359,1.0832512934497882,1.0611641500634108,0.853271484375,0.893310546875,0.893310546875,922,0.6637744034707158,0.02587890625
30,oasis_projected,4096,1.550574500495331,1.0448335501008115,1.0476568823749344,0.8984375,0.9111328125,0.9111328125,922,0.7169197396963124,0.019775390625
30,hybrid,4096,1.5251651664187416,1.045169901575292,1.0441016148932956,0.89892578125,0.914794921875,0.914794921875,922,0.7093275488069414,0.01416015625
30,fresh,4096,1.0,1.0,1.0,1.0,1.0,1.0,922,1.0,0.0
all,stale,24576,2.8671303743798524,1.1828961861214253,1.1871040500312964,0.7874348958333334,0.7895914713541666,0.7895914713541666,5003,0.0,0.0
all,isomer,24576,1.6641119485194527,1.053058230508021,1.0625334466865222,0.8959554036458334,0.8881429036458334,0.8881429036458334,5003,0.5434739156506097,0.011515299479166666
all,oasis,24576,1.7599700439780992,1.0716780946260287,1.0563394235726287,0.8728841145833334,0.8949381510416666,0.8949381510416666,5003,0.630221866879872,0.0230712890625
all,oasis_projected,24576,1.518529951677943,1.0398323828003735,1.0420595576298768,0.908203125,0.9109700520833334,0.9109700520833334,5003,0.6901858884669199,0.018758138020833332
all,hybrid,24576,1.5040837938042866,1.0389215136096088,1.0409118839192066,0.9085286458333334,0.911376953125,0.911376953125,5003,0.6677993204077554,0.013875325520833334
all,fresh,24576,1.0,1.0,1.0,1.0,1.0,1.0,5003,1.0,0.0
