format,qerror_prior,qerror_oasis,improvement_pct,degradation_vs_native
Equi-depth (native),2.367115222515438,1.31796541751611,44.32187309768719,0.0
Equi-width,2.3791478596294984,1.3296621661310422,44.11183143791203,0.8874852450207952
V-optimal,2.4739417584788415,1.3506247368982949,45.40596065896245,2.478010344439535
