q,source,label,router_choice,count,fraction
5,lininterp,LinInterp,soft,3,0.0234375
5,feedavg,FeedAvg,stale,6,0.046875
5,feedavg,FeedAvg,isomer,82,0.640625
5,feedavg,FeedAvg,noproj,0,0.0
5,feedavg,FeedAvg,hard,35,0.2734375
5,feedavg,FeedAvg,soft,5,0.0390625
5,stholes,STHoles,stale,6,0.046875
5,stholes,STHoles,isomer,105,0.8203125
5,stholes,STHoles,noproj,0,0.0
5,stholes,STHoles,hard,11,0.0859375
5,stholes,STHoles,soft,6,0.046875
5,quicksel_h,QuickSel-H,stale,6,0.046875
5,quicksel_h,QuickSel-H,isomer,88,0.6875
5,quicksel_h,QuickSel-H,noproj,0,0.0
5,quicksel_h,QuickSel-H,hard,29,0.2265625
5,quicksel_h,QuickSel-H,soft,5,0.0390625
5,lqm,LQM (learned QD),stale,6,0.046875
5,lqm,LQM (learned QD),isomer,29,0.2265625
5,lqm,LQM (learned QD),noproj,0,0.0
5,lqm,LQM (learned QD),hard,86,0.671875
5,lqm,LQM (learned QD),soft,7,0.0546875
5,oasis_mlp,OASIS MLP,stale,6,0.046875
5,oasis_mlp,OASIS MLP,isomer,101,0.7890625
5,oasis_mlp,OASIS MLP,noproj,0,0.0
5,oasis_mlp,OASIS MLP,hard,21,0.1640625
5,oasis_mlp,OASIS MLP,soft,0,0.0
10,stale,Stale prior,stale,3,0.0234375
10,stale,Stale prior,isomer,122,0.953125
10,stale,Stale prior,noproj,0,0.0
10,stale,Stale prior,hard,0,0.0
10,stale,Stale prior,soft,3,0.0234375
10,lininterp,LinInterp,stale,3,0.0234375
10,lininterp,LinInterp,isomer,103,0.8046875
10,lininterp,LinInterp,noproj,0,0.0
10,lininterp,LinInterp,hard,22,0.171875
10,lininterp,LinInterp,soft,0,0.0
10,feedavg,FeedAvg,stale,3,0.0234375
10,feedavg,FeedAvg,isomer,85,0.6640625
10,feedavg,FeedAvg,noproj,0,0.0
10,feedavg,FeedAvg,hard,39,0.3046875
10,feedavg,FeedAvg,soft,1,0.0078125
10,stholes,STHoles,stale,3,0.0234375
10,stholes,STHoles,isomer,103,0.8046875
10,stholes,STHoles,noproj,0,0.0
10,stholes,STHoles,hard,21,0.1640625
10,stholes,STHoles,soft,1,0.0078125
10,quicksel_h,QuickSel-H,stale,3,0.0234375
10,quicksel_h,QuickSel-H,isomer,77,0.6015625
10,quicksel_h,QuickSel-H,noproj,0,0.0
10,quicksel_h,QuickSel-H,hard,46,0.359375
10,quicksel_h,QuickSel-H,soft,2,0.015625
10,lqm,LQM (learned QD),stale,3,0.0234375
10,lqm,LQM (learned QD),isomer,29,0.2265625
10,lqm,LQM (learned QD),noproj,0,0.0
10,lqm,LQM (learned QD),hard,92,0.71875
10,lqm,LQM (learned QD),soft,4,0.03125
10,oasis_mlp,OASIS MLP,stale,3,0.0234375
10,oasis_mlp,OASIS MLP,isomer,106,0.828125
10,oasis_mlp,OASIS MLP,noproj,0,0.0
10,oasis_mlp,OASIS MLP,hard,18,0.140625
10,oasis_mlp,OASIS MLP,soft,1,0.0078125
