q_mods,stale_qerr_gm,proj_stale_isomer_qerr_gm,oasis_no_proj_qerr_gm,proj_oasis_qerr_gm,proj_fresh_qerr_gm,fresh_qerr_gm,proj_oasis_vs_isomer_pct,proj_oasis_win_vs_isomer_frac
1,1.163415173783852,1.0840947598358144,1.1710600914592288,1.106456809302609,1.0680395134273093,1.0,-2.0627393743865503,0.4415283203125
3,1.4497573194667122,1.1789527346403637,1.2248992484625627,1.1707686673774675,1.0962110942555976,1.0,0.6941811170566256,0.54296875
5,1.6133259828187223,1.2200659446712572,1.2936608774375875,1.1974493483537747,1.1074303868169981,1.0,1.853719171185984,0.5809326171875
10,2.027090768239085,1.342317191578134,1.3939651722870796,1.2761706786118234,1.121343235334173,1.0,4.927785577158817,0.6134033203125
15,2.1833414717821116,1.4406463558315024,1.5403026364980044,1.3740745323934689,1.1216804838748964,1.0,4.620969134344564,0.5728759765625
20,2.160871304528526,1.4630195416473077,1.4834749977081472,1.3527691270845439,1.1271311488527151,1.0,7.535812846260812,0.6201171875
25,2.295448728085236,1.4602505141954245,1.5066245147842097,1.3472985370654402,1.1274967716046795,1.0,7.73510956044546,0.6025390625
30,2.1477887787039562,1.449354792244383,1.4747909385212739,1.3212887274306997,1.1279886858957195,1.0,8.836074196530442,0.61181640625
all,1.834549296465504,1.3221370054864279,1.3797382750135991,1.2648335492248064,1.1119878009631057,1.0,4.334154177958202,0.573272705078125
