q_mods,method,method_label,n_predicates,qerror_gm,qerror_mean,improvement_vs_stale_pct,win_vs_isomer_frac,tie_vs_isomer_frac
1,stale,Stale,8192,1.163415173783852,1.1877445741186585,0.0,0.2518310546875,0.0
1,proj_stale,Proj(stale)/ISOMER,8192,1.0840947598358144,1.0926174349486542,6.8178940532517425,0.0,1.0
1,oasis_no_proj,OASIS-noProj,8192,1.1710600914592288,1.1930161036909057,-0.6571100195051361,0.291259765625,0.0
1,proj_oasis,Proj(OASIS),8192,1.106456809302609,1.1196274395873411,4.895790064005576,0.4415283203125,0.0
1,proj_fresh,Proj(fresh),8192,1.0680395134273093,1.0746382475180292,8.19790411073514,0.5770263671875,0.0
1,fresh,Fresh,8192,1.0,1.0,14.046161462065696,1.0,0.0
3,stale,Stale,8192,1.4497573194667122,1.5878520946773165,0.0,0.2060546875,0.0
3,proj_stale,Proj(stale)/ISOMER,8192,1.1789527346403637,1.2060084890713592,18.679304542222486,0.0,1.0
3,oasis_no_proj,OASIS-noProj,8192,1.2248992484625627,1.2685637273617547,15.51004902578196,0.44580078125,0.0
3,proj_oasis,Proj(OASIS),8192,1.1707686673774675,1.1975977282013968,19.2438174543495,0.54296875,0.0035400390625
3,proj_fresh,Proj(fresh),8192,1.0962110942555976,1.1072857191595702,24.386579771927984,0.744873046875,0.0008544921875
3,fresh,Fresh,8192,1.0,1.0,31.022938351651412,1.0,0.0
5,stale,Stale,8192,1.6133259828187223,1.866056028281764,0.0,0.164306640625,0.0
5,proj_stale,Proj(stale)/ISOMER,8192,1.2200659446712572,1.2588918306844605,24.375733257601226,0.0,1.0
5,oasis_no_proj,OASIS-noProj,8192,1.2936608774375875,1.3620156491032747,19.81404308772316,0.424560546875,0.0
5,proj_oasis,Proj(OASIS),8192,1.1974493483537747,1.2379597153410846,25.7775947882739,0.5809326171875,0.0003662109375
5,proj_fresh,Proj(fresh),8192,1.1074303868169981,1.1198446408632214,31.35730790858824,0.7535400390625,0.0003662109375
5,fresh,Fresh,8192,1.0,1.0,38.016246521186616,1.0,0.0
10,stale,Stale,8192,2.027090768239085,2.6085566910054765,0.0,0.182373046875,0.0
10,proj_stale,Proj(stale)/ISOMER,8192,1.342317191578134,1.4387100019523795,33.78110084610604,0.0,1.0
10,oasis_no_proj,OASIS-noProj,8192,1.3939651722870796,1.5025827390695923,31.233213917795887,0.4552001953125,0.0
10,proj_oasis,Proj(OASIS),8192,1.2761706786118234,1.3426919103006143,37.04422620796497,0.6134033203125,0.0010986328125
10,proj_fresh,Proj(fresh),8192,1.121343235334173,1.1422000499775935,44.682139897056835,0.8060302734375,0.0010986328125
10,fresh,Fresh,8192,1.0,1.0,50.66821793734029,1.0,0.0
15,stale,Stale,8192,2.1833414717821116,2.8681241177600145,0.0,0.1993408203125,0.0
