q_mods,stale_qerr_gm,proj_stale_isomer_qerr_gm,oasis_no_proj_qerr_gm,proj_oasis_qerr_gm,proj_fresh_qerr_gm,fresh_qerr_gm,proj_oasis_vs_isomer_pct,proj_oasis_win_vs_isomer_frac
1,1.208601915858965,1.141668889051832,1.1743500843955694,1.148017554216283,1.1042139038149972,1.0,-0.55608637717399,0.5068359375
5,1.9684935365240188,1.393723202883861,1.4185447843532875,1.3184779338274009,1.1634135998877473,1.0,5.3988675011483185,0.615478515625
10,2.99042990037194,1.6169986862400536,1.4635230907534507,1.3716647309044196,1.1757174311725602,1.0,15.172180251184978,0.700927734375
20,3.253075163267529,1.787822794152627,1.571989681732496,1.390676237340434,1.1561142252613803,1.0,22.21397770020201,0.694580078125
30,3.192789001435985,1.7786839691730498,1.6240872875925698,1.4294383833577715,1.1585295365762316,1.0,19.63505557300606,0.688720703125
all,2.3644113906150355,1.52254425524367,1.4415172850208597,1.3277984826452676,1.1513294986403915,1.0,12.790811953589825,0.64130859375
