family,method,n,row_qerr_gm,qerr_improvement_pct,beats_stale_qerr_frac,fresh_plan_match_frac,fresh_root_match_frac,fresh_scan_match_frac,fresh_join_match_frac,stale_fresh_changed_queries,plan_recovery_frac,new_plan_deviation_frac
all,stale,84,28.580906135783444,0.0,0.0,0.5357142857142857,0.6190476190476191,0.5357142857142857,0.7023809523809523,39,0.0,0.0
all,isomer,84,2.141989620129193,92.50552235834324,0.9642857142857143,0.9523809523809523,0.9642857142857143,0.9523809523809523,0.9761904761904762,39,0.8974358974358975,0.0
all,oasis,84,2.4629597488522554,91.38249943108481,0.9285714285714286,0.9761904761904762,0.9761904761904762,0.9761904761904762,0.9761904761904762,39,0.9487179487179487,0.0
all,oasis_projected,84,1.9350816856239097,93.22945998832004,0.9642857142857143,0.9642857142857143,0.9761904761904762,0.9642857142857143,0.9880952380952381,39,0.9743589743589743,0.044444444444444446
all,oasis_soft_projection,84,1.9290613951214466,93.25052401782933,0.9642857142857143,0.9880952380952381,0.9880952380952381,0.9880952380952381,0.9880952380952381,39,0.9743589743589743,0.0
all,hybrid,84,1.9290007488557603,93.25073620937216,0.9642857142857143,0.9880952380952381,0.9880952380952381,0.9880952380952381,0.9880952380952381,39,0.9743589743589743,0.0
all,aggressive_hybrid,84,1.9226176930802892,93.27306949630557,0.9642857142857143,0.9642857142857143,0.9761904761904762,0.9642857142857143,0.9880952380952381,39,0.9743589743589743,0.044444444444444446
all,calibrated_hybrid,84,1.931015934941709,93.24368539692985,0.9642857142857143,0.9642857142857143,0.9761904761904762,0.9642857142857143,0.9880952380952381,39,0.9743589743589743,0.044444444444444446
all,fresh,84,1.3468117567542466,95.28772198349571,0.9642857142857143,1.0,1.0,1.0,1.0,39,1.0,0.0
scan,stale,28,28.8274270189791,0.0,0.0,0.75,0.75,0.75,1.0,7,0.0,0.0
scan,isomer,28,2.159265294817013,92.50968428991108,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9642857142857143,1.0,7,0.8571428571428571,0.0
scan,oasis,28,2.4863570102380526,91.37502972914957,0.9285714285714286,1.0,1.0,1.0,1.0,7,1.0,0.0
scan,oasis_projected,28,1.952048432211349,93.22850273482202,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9642857142857143,1.0,7,1.0,0.047619047619047616
scan,oasis_soft_projection,28,1.9470163952024029,93.2459584619864,0.9642857142857143,1.0,1.0,1.0,1.0,7,1.0,0.0
scan,hybrid,28,1.9465265609868072,93.24765765704558,0.9642857142857143,1.0,1.0,1.0,1.0,7,1.0,0.0
scan,aggressive_hybrid,28,1.9396466950249585,93.27152335257686,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9642857142857143,1.0,7,1.0,0.047619047619047616
scan,calibrated_hybrid,28,1.9480158809671317,93.24249132714961,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9642857142857143,1.0,7,1.0,0.047619047619047616
scan,fresh,28,1.3545390365741319,95.30121423711404,0.9642857142857143,1.0,1.0,1.0,1.0,7,1.0,0.0
join,stale,28,28.823234124924813,0.0,0.0,0.25,0.5,0.25,0.5,21,0.0,0.0
join,isomer,28,2.158931654256508,92.50975221968731,0.9642857142857143,0.9285714285714286,0.9642857142857143,0.9285714285714286,0.9642857142857143,21,0.9047619047619048,0.0
join,oasis,28,2.486494881317342,91.37329672811715,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9285714285714286,21,0.9047619047619048,0.0
join,oasis_projected,28,1.951823647049444,93.2282975651174,0.9642857142857143,0.9285714285714286,0.9642857142857143,0.9285714285714286,0.9642857142857143,21,0.9523809523809523,0.14285714285714285
join,oasis_soft_projection,28,1.9469278961547378,93.24528299733326,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9642857142857143,21,0.9523809523809523,0.0
join,hybrid,28,1.9463639769041927,93.24723947191936,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9642857142857143,21,0.9523809523809523,0.0
join,aggressive_hybrid,28,1.9394173725904293,93.2713401827683,0.9642857142857143,0.9285714285714286,0.9642857142857143,0.9285714285714286,0.9642857142857143,21,0.9523809523809523,0.14285714285714285
join,calibrated_hybrid,28,1.9477836477792914,93.24231403270963,0.9642857142857143,0.9285714285714286,0.9642857142857143,0.9285714285714286,0.9642857142857143,21,0.9523809523809523,0.14285714285714285
join,fresh,28,1.354442712326734,95.30086489789332,0.9642857142857143,1.0,1.0,1.0,1.0,21,1.0,0.0
join_dim_filter,stale,28,28.098257629659937,0.0,0.0,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.6071428571428571,11,0.0,0.0
join_dim_filter,isomer,28,2.108177565063517,92.49712351260469,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9642857142857143,11,0.9090909090909091,0.0
join_dim_filter,oasis,28,2.4166896690418946,91.3991475881021,0.9285714285714286,1.0,1.0,1.0,1.0,11,1.0,0.0
join_dim_filter,oasis_projected,28,1.9018083234361631,93.23157916586025,0.9642857142857143,1.0,1.0,1.0,1.0,11,1.0,0.0
join_dim_filter,oasis_soft_projection,28,1.8937326775217707,93.26031990139208,0.9642857142857143,1.0,1.0,1.0,1.0,11,1.0,0.0
join_dim_filter,hybrid,28,1.8945793370128905,93.25730669145473,0.9642857142857143,1.0,1.0,1.0,1.0,11,1.0,0.0
join_dim_filter,aggressive_hybrid,28,1.8892302534153276,93.27634375655701,0.9642857142857143,1.0,1.0,1.0,1.0,11,1.0,0.0
join_dim_filter,calibrated_hybrid,28,1.8976860467435912,93.24625009936405,0.9642857142857143,1.0,1.0,1.0,1.0,11,1.0,0.0
join_dim_filter,fresh,28,1.331583883635189,95.26097346965173,0.9642857142857143,1.0,1.0,1.0,1.0,11,1.0,0.0
