q_group,locality_bin,method,method_label,n_predicates,qerror_gm,qerror_mean,improvement_vs_stale_pct,win_vs_isomer_frac,tie_vs_isomer_frac
all,far> 0.15,stale,Stale,10812,3.054479712192186,5.265663705002852,0.0,0.19034406215316316,0.0
all,far> 0.15,proj_stale,ISOMER/ISOMER,10812,1.7794751460227656,2.277827638184686,41.74211932330549,0.0,1.0
all,far> 0.15,oasis_no_proj,OASIS-noProj,10812,1.918194912248956,2.7469293170957667,37.200600659014476,0.4295227524972253,0.0
all,far> 0.15,proj_oasis,OASIS,10812,1.6598444696888621,2.0971571444680297,45.658684093940195,0.5215501294857565,0.0
all,far> 0.15,proj_fresh,Fresh-init,10812,1.1048930908241608,1.1144822184231202,63.82712622336639,0.8903995560488346,0.0
all,far> 0.15,fresh,Fresh,10812,1.0,1.0,67.26120013145203,1.0,0.0
all,far> 0.15,stholes_no_proj,STHoles (raw),10812,1.7884021678427773,2.318556854200494,41.44985934251796,0.4943581206067333,0.0
all,far> 0.15,proj_stholes,STHoles-init,10812,1.6036363679419061,1.9200860849109975,47.49886988802477,0.6535331113577506,0.00684424713281539
all,far> 0.15,quicksel_no_proj,QuickSel-H (raw),10812,1.780015364352651,2.287713359881089,41.72443322351805,0.5006474287828339,0.0
all,far> 0.15,proj_quicksel,QuickSel-init,10812,1.5789861372666072,1.8433682407649226,48.30588885681692,0.6023862375138734,0.0
all,mid<= 0.15,stale,Stale,21712,2.546171681138433,4.205277791800833,0.0,0.19721812822402357,0.0
all,mid<= 0.15,proj_stale,ISOMER/ISOMER,21712,1.573512377880521,1.925515622196105,38.20085308713437,0.0,1.0
all,mid<= 0.15,oasis_no_proj,OASIS-noProj,21712,1.7768571297516211,2.4954299719294797,30.214559257168368,0.3956337509211496,0.0
all,mid<= 0.15,proj_oasis,OASIS,21712,1.4947436045138602,1.8104369339259772,41.29446904202716,0.5364314664701547,0.0004605747973470892
all,mid<= 0.15,proj_fresh,Fresh-init,21712,1.1427076536491227,1.1788098462136176,55.12055757614112,0.8081245394252027,0.0
