q_mods,method,method_label,n_predicates,qerror_gm,qerror_mean,improvement_vs_stale_pct,win_vs_isomer_frac,tie_vs_isomer_frac
1,stale,Stale,8192,1.22375974298394,1.2849692894931108,0.0,0.2894287109375,0.0
1,proj_stale,ISOMER/ISOMER,8192,1.1368027553015694,1.1589745697218439,7.105723830262635,0.0,1.0
1,oasis_no_proj,OASIS-noProj,8192,1.2710211354898153,1.3252539881412777,-3.8619829404288217,0.2943115234375,0.0
1,proj_oasis,OASIS,8192,1.180843868992997,1.2146057411662168,3.506887216791392,0.433349609375,0.0
1,proj_fresh,Fresh-init,8192,1.1042536650958472,1.1189849014797868,9.765485306510945,0.5975341796875,0.0
1,fresh,Fresh,8192,1.0,1.0,18.284613811395534,1.0,0.0
1,stholes_no_proj,STHoles (raw),8192,1.1429967692640965,1.172855615201479,6.5995775872571185,0.468017578125,0.0
1,proj_stholes,STHoles-init,8192,1.139904560018545,1.1633872021286762,6.852258659933345,0.4752197265625,0.0
1,quicksel_no_proj,QuickSel-H (raw),8192,1.184393374322913,1.2147460636858745,3.2168380179788016,0.392578125,0.0
1,proj_quicksel,QuickSel-init,8192,1.1533629567841255,1.1764138468817007,5.752500570754463,0.456298828125,0.0
3,stale,Stale,8192,1.6789977271649377,2.0714858717191085,0.0,0.2188720703125,0.0
3,proj_stale,ISOMER/ISOMER,8192,1.2984236545617607,1.3924656417432042,22.666741380632676,0.0,1.0
3,oasis_no_proj,OASIS-noProj,8192,1.3699197962897478,1.501759926297125,18.40847821736374,0.4405517578125,0.0
3,proj_oasis,OASIS,8192,1.2834266000442152,1.3680954596293746,23.559956080980644,0.535400390625,0.002685546875
3,proj_fresh,Fresh-init,8192,1.1456346582580081,1.1753471163286637,31.766753479025656,0.748291015625,0.0001220703125
3,fresh,Fresh,8192,1.0,1.0,40.44065791032699,1.0,0.0
3,stholes_no_proj,STHoles (raw),8192,1.3527734270698628,1.485419143587307,19.429704687326712,0.4302978515625,0.0
3,proj_stholes,STHoles-init,8192,1.2841097962061387,1.376697863687964,23.519265367058285,0.56201171875,0.0001220703125
3,quicksel_no_proj,QuickSel-H (raw),8192,1.377853133480351,1.4813581436310665,17.93597387371588,0.3795166015625,0.0
