q,source,label,router_choice,count,fraction
1,feedavg,FeedAvg,noproj,5,0.0390625
1,feedavg,FeedAvg,hard,20,0.15625
1,feedavg,FeedAvg,soft,68,0.53125
1,stholes,STHoles,stale,5,0.0390625
1,stholes,STHoles,isomer,33,0.2578125
1,stholes,STHoles,noproj,8,0.0625
1,stholes,STHoles,hard,28,0.21875
1,stholes,STHoles,soft,54,0.421875
1,quicksel_h,QuickSel-H,stale,6,0.046875
1,quicksel_h,QuickSel-H,isomer,41,0.3203125
1,quicksel_h,QuickSel-H,noproj,11,0.0859375
1,quicksel_h,QuickSel-H,hard,23,0.1796875
1,quicksel_h,QuickSel-H,soft,47,0.3671875
1,oasis_mlp,OASIS MLP,stale,5,0.0390625
1,oasis_mlp,OASIS MLP,isomer,53,0.4140625
1,oasis_mlp,OASIS MLP,noproj,0,0.0
1,oasis_mlp,OASIS MLP,hard,32,0.25
1,oasis_mlp,OASIS MLP,soft,38,0.296875
3,stale,Stale prior,stale,0,0.0
3,stale,Stale prior,isomer,49,0.3828125
3,stale,Stale prior,noproj,0,0.0
3,stale,Stale prior,hard,0,0.0
3,stale,Stale prior,soft,79,0.6171875
3,lininterp,LinInterp,stale,1,0.0078125
3,lininterp,LinInterp,isomer,27,0.2109375
3,lininterp,LinInterp,noproj,2,0.015625
3,lininterp,LinInterp,hard,30,0.234375
3,lininterp,LinInterp,soft,68,0.53125
3,feedavg,FeedAvg,stale,0,0.0
3,feedavg,FeedAvg,isomer,22,0.171875
3,feedavg,FeedAvg,noproj,1,0.0078125
3,feedavg,FeedAvg,hard,28,0.21875
3,feedavg,FeedAvg,soft,77,0.6015625
3,stholes,STHoles,stale,0,0.0
3,stholes,STHoles,isomer,33,0.2578125
3,stholes,STHoles,noproj,6,0.046875
3,stholes,STHoles,hard,23,0.1796875
3,stholes,STHoles,soft,66,0.515625
3,quicksel_h,QuickSel-H,stale,3,0.0234375
3,quicksel_h,QuickSel-H,isomer,31,0.2421875
3,quicksel_h,QuickSel-H,noproj,12,0.09375
3,quicksel_h,QuickSel-H,hard,28,0.21875
3,quicksel_h,QuickSel-H,soft,54,0.421875
3,oasis_mlp,OASIS MLP,stale,2,0.015625
