drift_q,stale_qerr_gm,isomer_qerr_gm,oasis_qerr_gm,oasis_projected_qerr_gm,hybrid_qerr_gm,fresh_qerr_gm,oasis_improvement_pct,isomer_improvement_pct,oasis_projected_improvement_pct,hybrid_improvement_pct
5,1.322812352927344,1.0091712931173922,1.2480921943126977,1.0103406391808674,1.0081344314080019,1.0048635633046794,5.648583372334915,23.710170162523315,23.62177167872571,23.7885532912487
10,1.179106643146617,1.0129204859797056,1.4352042986067537,1.0308756061232065,1.0213021309805947,1.0053020908233345,-21.719634686876404,14.094243140164114,12.571469924707959,13.383396072207523
20,1.178603723712351,1.0169386592297305,1.446686861823031,1.0212122406700288,1.0205319066336345,1.005129050087651,-22.745824802442947,13.716659911221896,13.354062936995694,13.41178666743254
30,1.1780339005772928,1.0257578987083313,1.3888837859669694,1.0336591351541131,1.0198847949189978,1.0045992570265474,-17.898456511849957,12.926283513092365,12.255569670145249,13.424834852443082
all,1.213093376124378,1.0161784193517485,1.3773687002463662,1.0239809118606829,1.0174488788468536,1.004973454946279,-13.541853195738247,16.232464923824626,15.589275152740226,16.127736011763126
