source,label,none_qerr,none_resid,none_qmae,hard_qerr,hard_resid,hard_qmae,router_qerr,router_resid,router_qmae,cases
stale,Stale prior,1.528437708084126,0.05850025854495801,0.06203789934388031,1.3622657247516785,0.008971360365261073,0.03716043228196182,1.3626347152750415,0.00880449878983925,0.037152655283806686,512
lininterp,LinInterp,1.4781292850429444,0.04911349862846683,0.055185946236690195,1.3548679945965116,0.00870718638838481,0.0363903550371803,1.353112712328503,0.007567011373292303,0.03592508503550088,512
feedavg,FeedAvg,1.6205458290196677,0.06401632434455436,0.06620795459116616,1.4130633640332375,0.009268789901315602,0.03988859345635206,1.3720979832193005,0.00807223355812014,0.03739955128026223,512
stholes,STHoles,1.4444031572192138,0.03740184478072966,0.05050505722017608,1.355882844371481,0.007879157653693774,0.03630067989507802,1.354325022114828,0.0069753438807706675,0.03564541436575035,512
quicksel_h,QuickSel-H,1.562157857094327,0.04452130476539114,0.05758688738422899,1.408473608270161,0.008530676355940387,0.03907648610754281,1.3926734863077663,0.00793593107677484,0.03747298303237779,512
lqm,LQM (learned QD),1.5027223387632365,0.04429323340866256,0.05798974940724388,1.379574268474314,0.00834758271357515,0.03922534642279271,1.363376856260623,0.0078583132654329,0.03753222683709744,512
oasis_mlp,OASIS MLP,2.043381338707987,0.11189849449721444,0.13960243338121708,1.7033959469657798,0.01588342359856989,0.08001918995257362,1.4032697725408423,0.0071780782379748335,0.03993178062192023,512
