q_mods,case_id,n_obs,n_constraints,hard_active_suffix_len,n_old,n_old_consistent,n_old_conflicted,max_conflict,mean_conflict_old,signed_resid_old,signed_resid_recent,qerr_hard,kl_hard,l1_to_hard_hard,feedresid_hard,qerr_soft_full,kl_soft_full,l1_to_hard_soft_full,feedresid_soft_full,qerr_soft_recent,kl_soft_recent,l1_to_hard_soft_recent,feedresid_soft_recent,qerr_soft_conflict,kl_soft_conflict,l1_to_hard_soft_conflict,feedresid_soft_conflict,dqerr_soft_full_vs_hard,dqerr_soft_recent_vs_hard,dqerr_soft_conflict_vs_hard,dqerr_conflict_vs_recent
1,sim_case_0000,13.0,13.0,3.0,5.0,5.0,0.0,0.036163603657468624,0.01843029750364588,-0.008648978922063151,0.04115776018100541,1.210272208423159,0.0471359461085192,0.0,0.029039878567838184,1.1238841823238024,0.0893915417447319,0.0193742391729569,0.015227533767038753,1.1149528014973207,0.08376164378630237,0.019135227651646283,0.018144628073334827,1.1153007594689959,0.09178436917626025,0.018467837114285093,0.015644437304146514,0.08638802609935659,0.09531940692583829,0.0949714489541631,-0.0003479579716751946
1,sim_case_0001,16.0,16.0,7.0,8.0,8.0,0.0,0.03874851885058428,0.017226855609680486,0.014423375275893555,4.661961252649949e-06,1.1384461209023475,0.06491567236788351,0.0,0.022717260538063146,1.1550242273696003,0.05606118218911108,0.00611073177217232,0.023200947102438238,1.1545196244096885,0.054850728630404966,0.007156508703771743,0.023104847756614193,1.1482755051178832,0.05771400380401101,0.004479724207743697,0.02317873678378319,-0.016578106467252773,-0.016073503507340936,-0.009829384215535697,0.006244119291805239
1,sim_case_0002,13.0,13.0,3.0,5.0,5.0,0.0,0.044786849269945916,0.017088076657697064,0.02100407426495021,0.035227112528955815,1.087973417154118,0.09764119509689224,0.0,0.03785549450239393,1.1864763491831307,0.11769064220473496,0.03972871407757705,0.01724434693857647,1.1967267324155908,0.1016993357133527,0.03473704248925052,0.02108073050847064,1.2047567449328127,0.1071910676079948,0.03629458478662427,0.01970663330348959,-0.09850293202901272,-0.1087533152614728,-0.11678332777869471,-0.008030012517221907
1,sim_case_0003,16.0,16.0,4.0,8.0,4.0,4.0,0.10606876583039726,0.049749372798746125,0.034165578287539,0.03222427576790482,1.4135090502479126,0.06151241263953312,0.0,0.04223732784639144,1.244975960121159,0.07405435319294934,0.027718794539846672,0.028457842155574654,1.2125713315645472,0.07611387720595165,0.01680601255658479,0.03787754311801518,1.2063790988091603,0.07899974878368862,0.018123872953644284,0.03780323518639588,0.16853309012675366,0.2009377186833654,0.20712995143875235,0.006192232755386939
1,sim_case_0004,16.0,16.0,10.0,8.0,3.0,5.0,0.10105261614015615,0.05204427680952718,0.06983959891663023,0.016437186346572055,1.1831173982459613,0.0874627409572157,0.0,0.03242670496328407,1.2383014776834869,0.1318378443745502,0.034927855734494244,0.024853424712501418,1.3802103672462986,0.04407726665893978,0.025277456880220286,0.03402237433484472,1.3751919728041424,0.05316807615083644,0.0237408962906769,0.0328333044208364,-0.05518407943752557,-0.19709296900033735,-0.1920745745581811,0.005018394442156238
1,sim_case_0005,12.0,12.0,4.0,4.0,4.0,0.0,0.05559200000000009,0.01662583909219587,-0.02492755285301635,0.015531820992312016,1.1951769987766616,0.07409967873362885,0.0,0.0257240088190137,1.2176737358559513,0.06450767100282659,0.01879585207896167,0.015511633805070058,1.2395523409999172,0.06009722216605658,0.016489241194159128,0.016966361884434428,1.222829217056052,0.061520269975586295,0.01775845950708916,0.01612369636860762,-0.022496737079289675,-0.044375342223255565,-0.02765221827939035,0.016723123943865215
1,sim_case_0006,12.0,12.0,12.0,4.0,4.0,0.0,0.0437324266435849,0.021449153656981634,0.01394259222705102,0.0055622994511203006,1.2063455933990452,0.030726048920586696,0.0,0.00648501945414064,1.2002290507347093,0.02306810293562897,0.0018728746410506382,0.0073176426714027425,1.1895537140892065,0.012659847674956537,0.007941943277538258,0.011456280264493244,1.2043348427619738,0.018902979965715376,0.0033617590232312175,0.008488424364018247,0.006116542664335922,0.01679187930983872,0.0020107506370714567,-0.014781128672767263
1,sim_case_0007,16.0,16.0,4.0,8.0,3.0,5.0,0.10666473762087847,0.057790467082977706,0.08934578682751441,0.028234173781559346,1.164090238594411,0.27400011150831616,0.0,0.03923853367068464,1.1897885542326505,0.17469414353612328,0.03442102231678599,0.031127065895039916,1.1319115975725644,0.15532049247807228,0.016599788286445517,0.04438818805975562,1.1313006867405984,0.21997000728622948,0.011352777188189875,0.03819385268769297,-0.025698315638239544,0.03217864102184653,0.032789551853812604,0.0006109108319660717
1,sim_case_0008,8.0,8.0,8.0,0.0,0.0,0.0,1.085771748976505e-05,0.0,0.0,0.028506296261731942,1.2582052784258144,0.2826941027005667,0.0,0.016289142641069093,1.218217303198328,0.21904546866387448,0.01382073725436468,0.02091008493771643,1.218217303198328,0.21904546866387448,0.01382073725436468,0.02091008493771643,1.218217303198328,0.21904546866387448,0.01382073725436468,0.02091008493771643,0.039987975227486316,0.039987975227486316,0.039987975227486316,0.0
1,sim_case_0009,9.0,9.0,3.0,1.0,1.0,0.0,0.07608300000000012,9.939917469050829e-05,0.008924874837461811,0.05639426768555408,1.6583427259476957,0.042119044922183574,0.0,0.0457918599933959,1.4296127224434743,0.09919695205519787,0.05565993746219941,0.029046670976380178,1.4301127846305086,0.09925193601754811,0.05555187995854285,0.029068281521524155,1.429612746917278,0.09919696653011892,0.05565993915417554,0.029046671213458355,0.22873000350422146,0.2282299413171871,0.2287299790304178,0.0005000377132307054
