family,method,n_configs,row_qerr_gm_mean,row_qerr_gm_std,qerr_improvement_pct_mean,qerr_improvement_pct_std,fresh_plan_match_frac_mean,fresh_plan_match_frac_std,plan_recovery_frac_mean,plan_recovery_frac_std,new_plan_deviation_frac_mean,new_plan_deviation_frac_std,stale_fresh_changed_queries_mean
all,stale,18,20.509388911658576,12.825321874611655,0.0,0.0,0.626984126984127,0.10592995387858031,0.0,0.0,0.0,0.0,31.333333333333332
all,isomer,18,2.7113040323925026,0.5465380587797232,68.45400521237097,33.27794991310369,0.955026455026455,0.01895792764168716,0.9259780895009061,0.034612896683927176,0.024751565108922673,0.0260607169881949,31.333333333333332
all,oasis,18,3.667885570656998,0.5660398081517374,58.63517842625486,42.731568085476695,0.8657407407407408,0.03715702962472653,0.8874876391202119,0.04789688669366268,0.15004478286003875,0.028287284765931908,31.333333333333332
all,oasis_projected,18,2.732518591999396,0.5538501057881446,68.14031261398051,33.65516057573469,0.955026455026455,0.01895792764168716,0.9259780895009061,0.034612896683927176,0.024751565108922673,0.0260607169881949,31.333333333333332
all,hybrid,18,2.722424279243386,0.554718444700129,68.26890115521901,33.529662961978126,0.955026455026455,0.01895792764168716,0.9259780895009061,0.034612896683927176,0.024751565108922673,0.0260607169881949,31.333333333333332
all,aggressive_hybrid,18,2.717141918357897,0.540427578881846,68.45986410029104,33.19733216251516,0.955026455026455,0.01895792764168716,0.9259780895009061,0.034612896683927176,0.024751565108922673,0.0260607169881949,31.333333333333332
all,fresh,18,1.5177868543746373,0.19329428320669986,83.58279743128888,16.408199449839607,1.0,0.0,1.0,0.0,0.0,0.0,31.333333333333332
scan,stale,18,21.1092627201765,13.127110240589715,0.0,0.0,0.7638888888888888,0.07364103838449772,0.0,0.0,0.0,0.0,6.611111111111111
scan,isomer,18,2.7805900130662518,0.5786869753925683,68.23989941171925,33.83510616236509,0.9841269841269842,0.018261071163032622,0.9691358024691357,0.05120984432916411,0.006944444444444444,0.01597843726765355,6.611111111111111
scan,oasis,18,3.7602476631552952,0.6109952507292756,58.34798936602768,43.47792857651715,0.9126984126984128,0.04103665356858155,0.9691358024691357,0.05120984432916411,0.09927944862155387,0.0432503498967621,6.611111111111111
scan,oasis_projected,18,2.802803738052717,0.5877668816045629,67.91529098694365,34.23082923155159,0.9841269841269842,0.018261071163032622,0.9691358024691357,0.05120984432916411,0.006944444444444444,0.01597843726765355,6.611111111111111
scan,hybrid,18,2.7921021515292974,0.5872713638600029,68.04986221356876,34.09753702121279,0.9841269841269842,0.018261071163032622,0.9691358024691357,0.05120984432916411,0.006944444444444444,0.01597843726765355,6.611111111111111
scan,aggressive_hybrid,18,2.7870127320196403,0.5737351964651736,68.24078155307163,33.757406377186435,0.9841269841269842,0.018261071163032622,0.9691358024691357,0.05120984432916411,0.006944444444444444,0.01597843726765355,6.611111111111111
scan,fresh,18,1.5379184911648547,0.21395898898153554,83.69613449147539,16.440878372589808,1.0,0.0,1.0,0.0,0.0,0.0,6.611111111111111
join,stale,18,21.1092627201765,13.127110240589715,0.0,0.0,0.47619047619047616,0.206075196942082,0.0,0.0,0.0,0.0,14.666666666666666
join,isomer,18,2.7805900130662518,0.5786869753925683,68.23989941171925,33.83510616236509,0.9047619047619047,0.038737581753331474,0.8780463363796698,0.05642173798700662,0.06299081035923142,0.051604501566697415,14.666666666666666
join,oasis,18,3.7602476631552952,0.6109952507292756,58.34798936602768,43.47792857651715,0.8253968253968255,0.05323971374999501,0.8652998236331569,0.042675525255479574,0.21250348092453353,0.046158425722065084,14.666666666666666
