feedback_k,method,n,selectivity_qerr_gm,selectivity_qerr_improvement_pct,scan_regret_gm,join_regret_gm,join_regret_improvement_pct,scan_optimal_match_frac,join_optimal_match_frac,join_fresh_match_frac,risky_stale_cases,risk_resolved_frac,new_risk_loss_frac
2,stale,24576,2.867130374379852,0.0,1.1828961861214253,1.1871040500312966,0.0,0.7874348958333334,0.7895914713541666,0.7895914713541666,5003,0.0,0.0
2,isomer,24576,2.082727023366884,27.358482126318755,1.0955563874462673,1.103064391691603,7.079384350300044,0.8562418619791666,0.8483479817708334,0.8483479817708334,5003,0.3339996002398561,0.008829752604166666
2,oasis,24576,2.146868840278681,25.121338762174727,1.0884468175891906,1.1099852445168192,6.496381299722144,0.8584391276041666,0.8399251302083334,0.8399251302083334,5003,0.41175294823106134,0.032999674479166664
2,oasis_projected,24576,1.9937203749753127,30.462863049729787,1.07933676844021,1.0957007714089946,7.699685517869498,0.8688151041666666,0.8543701171875,0.8543701171875,5003,0.4637217669398361,0.029134114583333332
2,oasis_soft_projection,24576,1.998113358069515,30.30964423786629,1.078592875029845,1.0965903055344106,7.624752395925167,0.868896484375,0.8532307942708334,0.8532307942708334,5003,0.46012392564461324,0.029541015625
2,hybrid,24576,1.9917276800331407,30.532364421553627,1.0836716796150483,1.0943155299087783,7.816376342079871,0.8668619791666666,0.8573404947916666,0.8573404947916666,5003,0.4391365180891465,0.021158854166666668
2,aggressive_hybrid,24576,1.9881357742839,30.657643194410877,1.0831875291967132,1.0933363607847657,7.8988601920833155,0.866943359375,0.8577880859375,0.8577880859375,5003,0.443134119528283,0.021525065104166668
2,calibrated_hybrid,24576,1.991538161323942,30.538974470084806,1.0838011404496375,1.0943830236464882,7.810690763152895,0.8667399088541666,0.8573811848958334,0.8573811848958334,5003,0.44033579852088744,0.0213623046875
2,fresh,24576,1.0,65.12192089568666,1.0,1.0,15.761385872313705,1.0,1.0,1.0,5003,1.0,0.0
4,stale,24576,2.867130374379852,0.0,1.1828961861214253,1.1871040500312966,0.0,0.7874348958333334,0.7895914713541666,0.7895914713541666,5003,0.0,0.0
4,isomer,24576,1.796528423884403,37.34053951861242,1.0650279859653724,1.0755134521714564,9.400237313392891,0.8828531901041666,0.8736165364583334,0.8736165364583334,5003,0.4723166100339796,0.011637369791666666
4,oasis,24576,1.923568456835537,32.9096271999282,1.0653527261691904,1.0806899151238636,8.964179248198802,0.8807373046875,0.8668619791666666,0.8668619791666666,5003,0.5286827903258046,0.029947916666666668
4,oasis_projected,24576,1.674808429275791,41.58589911914819,1.0485386307434024,1.0594597296003334,10.752580654374652,0.9002685546875,0.8915201822916666,0.8915201822916666,5003,0.6124325404757146,0.022135416666666668
4,oasis_soft_projection,24576,1.664408391860226,41.94863244681608,1.0462446268942371,1.0581765552021236,10.860673487363973,0.9022216796875,0.8919270833333334,0.8919270833333334,5003,0.614231461123326,0.022135416666666668
4,hybrid,24576,1.6649429674059972,41.92998747864344,1.048544934436329,1.0583602548291733,10.845198885365535,0.9006754557291666,0.8927408854166666,0.8927408854166666,5003,0.5948430941435139,0.017374674479166668
4,aggressive_hybrid,24576,1.6582068222701594,42.16493128154933,1.0476926887795057,1.0583788089851403,10.84363590898057,0.901611328125,0.8928629557291666,0.8928629557291666,5003,0.597041774935039,0.017740885416666668
4,calibrated_hybrid,24576,1.6562957661188151,42.231585249168695,1.0478948730478126,1.0574626027159713,10.920815855350465,0.9017333984375,0.8934733072916666,0.8934733072916666,5003,0.6008394963022187,0.0179443359375
4,fresh,24576,1.0,65.12192089568666,1.0,1.0,15.761385872313705,1.0,1.0,1.0,5003,1.0,0.0
8,stale,24576,2.867130374379852,0.0,1.1828961861214253,1.1871040500312966,0.0,0.7874348958333334,0.7895914713541666,0.7895914713541666,5003,0.0,0.0
8,isomer,24576,1.6782511920334187,41.46582216735026,1.054144654660793,1.0638937782187547,10.379062543784057,0.8952229817708334,0.8861897786458334,0.8861897786458334,5003,0.5346791924845093,0.011637369791666666
8,oasis,24576,1.6667028860330066,41.86860489755345,1.0424838491164088,1.0544594449545763,11.173797703177177,0.9019368489583334,0.8946940104166666,0.8946940104166666,5003,0.6248251049370378,0.021769205729166668
8,oasis_projected,24576,1.4748282295296298,48.56082434519118,1.0318532383578107,1.0376702217226061,12.588098600518698,0.9190266927083334,0.9178466796875,0.9178466796875,5003,0.7137717369578253,0.01611328125
8,oasis_soft_projection,24576,1.424877067083682,50.30302494033335,1.0261944646165777,1.0324127318577818,13.030982260521858,0.9256998697916666,0.9243977864583334,0.9243977864583334,5003,0.7369578253048171,0.0146484375
8,hybrid,24576,1.4802069834778178,48.37322373950364,1.033104975364151,1.039132444619452,12.464922970142627,0.9167887369791666,0.9148356119791666,0.9148356119791666,5003,0.6879872076753948,0.013753255208333334
8,aggressive_hybrid,24576,1.4753541377938724,48.54248167514931,1.033182486603679,1.0389829999513671,12.477511981870878,0.9171142578125,0.9156494140625,0.9156494140625,5003,0.6907855286827903,0.013712565104166666
8,calibrated_hybrid,24576,1.4316934764123679,50.06528167656007,1.0281764109653813,1.0336170675193337,12.929530693448177,0.923583984375,0.9225260416666666,0.9225260416666666,5003,0.7245652608434939,0.013509114583333334
8,fresh,24576,1.0,65.12192089568666,1.0,1.0,15.761385872313705,1.0,1.0,1.0,5003,1.0,0.0
16,stale,24576,2.867130374379852,0.0,1.1828961861214253,1.1871040500312966,0.0,0.7874348958333334,0.7895914713541666,0.7895914713541666,5003,0.0,0.0
16,isomer,24576,1.6640836828563341,41.959957673139705,1.0530435218883145,1.0625334466865222,10.493654986813521,0.8960367838541666,0.8881429036458334,0.8881429036458334,5003,0.5434739156506097,0.011515299479166666
