source,label,none_qerr,none_resid,none_qmae,hard_qerr,hard_resid,hard_qmae,router_qerr,router_resid,router_qmae,cases
stale,Stale prior,1.5109564262319586,0.05681865972216594,0.060604314216948736,1.1824011598559891,0.006986410360971023,0.011724733368892673,1.1766407353578885,0.006417917145348037,0.010988424686497411,512
lininterp,LinInterp,1.4557979700005055,0.05062112281614109,0.05360635267173752,1.1773404386281074,0.0069547741114851505,0.011623273060071656,1.1703906675715365,0.00602818495420344,0.010579067134552908,512
feedavg,FeedAvg,1.5882420584300363,0.060650907260804056,0.06435451394136094,1.207649587182936,0.007330664092845682,0.012679556414277792,1.1806086454675184,0.006273442521455432,0.011051683737713484,512
stholes,STHoles,1.2991714624381108,0.02457373862458146,0.029422009108160955,1.1709210798962006,0.006189848188881849,0.011032011456313833,1.1638220174804552,0.005386609593703693,0.009950933710937544,512
quicksel_h,QuickSel-H,1.4774689136872259,0.02403700970376868,0.03131963071191606,1.2448300397213197,0.007442204065924373,0.01531092964354947,1.184594319263645,0.005591764529641532,0.01123074359132823,512
lqm,LQM (learned QD),1.3473006647748722,0.022127242149686678,0.02888140901576932,1.2075785408858315,0.006575277233470503,0.013109322478537343,1.1759200877497558,0.00537386227170438,0.010629085978595439,512
oasis_mlp,OASIS MLP,1.6605990838087632,0.054035069003095494,0.06180162091781556,1.2713783620230545,0.009045197406025548,0.01754599828683026,1.1819639035998144,0.006020007191240136,0.011385832229404477,512
