family,method,n_configs,row_qerr_gm_mean,row_qerr_gm_std,qerr_improvement_pct_mean,qerr_improvement_pct_std,fresh_plan_match_frac_mean,fresh_plan_match_frac_std,plan_recovery_frac_mean,plan_recovery_frac_std,new_plan_deviation_frac_mean,new_plan_deviation_frac_std,stale_fresh_changed_queries_mean
all,stale,12,28.382434443359955,6.456753926721522,0.0,0.0,0.5624999999999999,0.049248370317944594,0.0,0.0,0.0,0.0,36.75
all,isomer,12,7.898265546784335,2.4800095795329473,72.64445275759515,3.3178960448858965,0.7003968253968255,0.030386660521269062,0.36015473770809137,0.02921350912212307,0.038538145241291615,0.02715207624194144,36.75
all,oasis,12,4.113720221329954,1.1627452599045713,84.01334694926891,7.502544108460663,0.8869047619047619,0.0480231769098134,0.7349802467180516,0.13167812202666668,0.004870537958773253,0.008811623677142055,36.75
all,oasis_projected,12,2.8321028023441315,0.16370082155824345,89.52661611373088,2.4839099905057402,0.9265873015873015,0.011159962697155863,0.8436765851018899,0.026669712558438197,0.009772498743086978,0.010207569684394352,36.75
all,oasis_soft_projection,12,2.9485698404148906,0.1932620670159277,89.07136535891118,2.717423958265587,0.9206349206349208,0.01631772421053194,0.8284461558089605,0.04082050150259856,0.009772498743086978,0.010207569684394352,36.75
all,hybrid,12,2.8281204948615724,0.16759397607474835,89.52273061003378,2.5655629986174073,0.9265873015873015,0.011159962697155863,0.8436765851018899,0.026669712558438197,0.009772498743086978,0.010207569684394352,36.75
all,aggressive_hybrid,12,2.8125568917285286,0.1622527088945055,89.61349280850577,2.395599182075828,0.925595238095238,0.011491753561469325,0.8416924581177629,0.026461654080168713,0.009772498743086978,0.010207569684394352,36.75
all,calibrated_hybrid,12,2.8221310754328512,0.1599505967603774,89.55211867698851,2.52024851162466,0.9265873015873015,0.011159962697155863,0.8436765851018899,0.026669712558438197,0.009772498743086978,0.010207569684394352,36.75
all,fresh,12,1.4125096915708915,0.09418049771879455,94.81860633434826,1.0473049556172385,1.0,0.0,1.0,0.0,0.0,0.0,36.75
scan,stale,12,29.22685350100414,6.383910495073197,0.0,0.0,0.7172619047619048,0.035578747139129334,0.0,0.0,0.0,0.0,7.916666666666667
scan,isomer,12,8.144715122557708,2.488504639628167,72.57184270035857,3.506168884143686,0.75,0.015228622596829309,0.18485449735449735,0.04452612872597585,0.027777777777777776,0.03183609159150102,7.916666666666667
scan,oasis,12,4.259145559999029,1.2519196202815444,84.01344166870568,7.497273818820803,0.9136904761904763,0.05375150110803169,0.7121362433862433,0.1526558196842229,0.0,0.0,7.916666666666667
scan,oasis_projected,12,2.8897024698504126,0.17699267863533344,89.67121332472823,2.3322332150756586,0.949404761904762,0.018390308948015608,0.8255621693121694,0.04247446135121547,0.0,0.0,7.916666666666667
scan,oasis_soft_projection,12,3.0078318150196117,0.20423619274741941,89.22525689520535,2.5593623109870656,0.949404761904762,0.018390308948015608,0.8255621693121694,0.04247446135121547,0.0,0.0,7.916666666666667
scan,hybrid,12,2.885358393749934,0.18008029191941224,89.66928715842901,2.4123000617438506,0.949404761904762,0.018390308948015608,0.8255621693121694,0.04247446135121547,0.0,0.0,7.916666666666667
scan,aggressive_hybrid,12,2.868776615824672,0.17646912489950375,89.75991876683894,2.2452970574024462,0.949404761904762,0.018390308948015608,0.8255621693121694,0.04247446135121547,0.0,0.0,7.916666666666667
scan,calibrated_hybrid,12,2.87957245236314,0.16982360093017732,89.69633673878856,2.367279663190858,0.949404761904762,0.018390308948015608,0.8255621693121694,0.04247446135121547,0.0,0.0,7.916666666666667
scan,fresh,12,1.424207673270943,0.10383256009019706,94.95579920978935,0.9283683500142625,1.0,0.0,1.0,0.0,0.0,0.0,7.916666666666667
join,stale,12,29.22685350100414,6.383910495073197,0.0,0.0,0.36309523809523814,0.13776082811801058,0.0,0.0,0.0,0.0,17.833333333333332
join,isomer,12,8.144715122557708,2.488504639628167,72.57184270035857,3.506168884143686,0.6250000000000001,0.051642771820087266,0.46388888888888896,0.04427469645252277,0.12545787545787543,0.06628693453962844,17.833333333333332
join,oasis,12,4.259145559999029,1.2519196202815444,84.01344166870568,7.497273818820803,0.8392857142857143,0.04934637712198269,0.7404761904761905,0.11097052971658768,0.018315018315018316,0.033160714222779275,17.833333333333332
join,oasis_projected,12,2.8897024698504126,0.17699267863533344,89.67121332472823,2.3322332150756586,0.8690476190476191,0.027803533720054435,0.8150793650793652,0.04762793138603526,0.03617216117216116,0.037810846109367045,17.833333333333332
join,oasis_soft_projection,12,3.0078318150196117,0.20423619274741941,89.22525689520535,2.5593623109870656,0.8690476190476191,0.027803533720054435,0.8150793650793652,0.04762793138603526,0.03617216117216116,0.037810846109367045,17.833333333333332
join,hybrid,12,2.885358393749934,0.18008029191941224,89.66928715842901,2.4123000617438506,0.8690476190476191,0.027803533720054435,0.8150793650793652,0.04762793138603526,0.03617216117216116,0.037810846109367045,17.833333333333332
join,aggressive_hybrid,12,2.868776615824672,0.17646912489950375,89.75991876683894,2.2452970574024462,0.8660714285714285,0.02692065576587178,0.8112914862914864,0.045158594397050306,0.03617216117216116,0.037810846109367045,17.833333333333332
join,calibrated_hybrid,12,2.87957245236314,0.16982360093017732,89.69633673878856,2.367279663190858,0.8690476190476191,0.027803533720054435,0.8150793650793652,0.04762793138603526,0.03617216117216116,0.037810846109367045,17.833333333333332
join,fresh,12,1.424207673270943,0.10383256009019706,94.95579920978935,0.9283683500142625,1.0,0.0,1.0,0.0,0.0,0.0,17.833333333333332
join_dim_filter,stale,12,26.783795949995923,6.628035830532378,0.0,0.0,0.6071428571428573,0.045685867790487986,0.0,0.0,0.0,0.0,11.0
join_dim_filter,isomer,12,7.431240371690848,2.4675109346413544,72.78358724790073,2.9880528987218367,0.7261904761904763,0.03516899742266648,0.31036324786324776,0.02491068459678835,0.005208333333333333,0.0180421959121758,11.0
join_dim_filter,oasis,12,3.8397337427483778,0.9999061891860632,84.01248942144512,7.51585185364929,0.9077380952380953,0.049248370317944636,0.751068376068376,0.14976705093428982,0.0,0.0,11.0
join_dim_filter,oasis_projected,12,2.720911747583656,0.1490038093053279,89.22683539611809,2.800665484734675,0.9613095238095236,0.01839030894801561,0.9038461538461539,0.04076255974507601,0.0,0.0,11.0
join_dim_filter,oasis_soft_projection,12,2.8341503009635622,0.18268711208769842,88.75245516677552,3.047471168526774,0.943452380952381,0.018390308948015605,0.852920227920228,0.05391943599710354,0.0,0.0,11.0
join_dim_filter,hybrid,12,2.717604443596077,0.15388027694036033,89.21885818807029,2.8854245009598203,0.9613095238095236,0.01839030894801561,0.9038461538461539,0.04076255974507601,0.0,0.0,11.0
join_dim_filter,aggressive_hybrid,12,2.7039970811882417,0.14570906599478126,89.30979525667514,2.7098741301299305,0.9613095238095236,0.01839030894801561,0.9038461538461539,0.04076255974507601,0.0,0.0,11.0
join_dim_filter,calibrated_hybrid,12,2.7112797222501555,0.15294597973594637,89.25297022573595,2.839663467056969,0.9613095238095236,0.01839030894801561,0.9038461538461539,0.04076255974507601,0.0,0.0,11.0
join_dim_filter,fresh,12,1.3900730642040824,0.08556552418165761,94.52534912242517,1.31290290006804,1.0,0.0,1.0,0.0,0.0,0.0,11.0
